csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
97,verdeling,distribution,分配,NOUN,nl,Advanced,1,keep,clean
168,dorpje,village,小村庄,NOUN,nl,Advanced,2,keep,clean
316,opleiden,to train,培训,VERB,nl,Advanced,3,keep,clean
344,luiden,to read,读作,VERB,nl,Advanced,4,keep,clean
559,schoen,shoe,鞋,NOUN,nl,Advanced,5,keep,clean
710,doelman,goalkeeper,守门员,NOUN,nl,Advanced,6,keep,clean
814,enquête,survey,调查,NOUN,nl,Advanced,7,keep,clean
832,portemonnee,wallet,钱包,NOUN,nl,Advanced,8,keep,clean
1106,wiel,wheel,轮子,NOUN,nl,Advanced,9,keep,clean
1154,saus,sauce,酱汁,NOUN,nl,Advanced,10,keep,clean
1156,slavernij,slavery,奴隶制,NOUN,nl,Advanced,11,keep,clean
1312,halte,stop,车站,NOUN,nl,Advanced,12,keep,clean
1357,adviseren,to advise,建议,VERB,nl,Advanced,13,keep,clean
1441,Limburgs,Limburgish,林堡的,ADJ,nl,Advanced,14,keep,clean
1451,producent,producer,生产者,NOUN,nl,Advanced,15,keep,clean
1473,airco,air conditioning,空调,NOUN,nl,Advanced,16,keep,clean
1477,borg,deposit,押金,NOUN,nl,Advanced,17,keep,clean
1499,omstreeks,around,大约,ADP,nl,Advanced,18,keep,clean
1648,zalm,salmon,鲑鱼,NOUN,nl,Advanced,19,keep,clean
1674,intensief,intensive,密集的,ADJ,nl,Advanced,20,keep,clean
1818,lidstaat,member state,成员国,NOUN,nl,Advanced,21,keep,clean
1822,Oekraïens,Ukrainian,乌克兰的,ADJ,nl,Advanced,22,keep,clean
1831,spoed,hurry,紧急,NOUN,nl,Advanced,23,keep,clean
1889,net,neat,整洁的,ADJ,nl,Advanced,24,keep,clean
