Dutch_Lemma,English_Lemma,Chinese_Lemma,POS
Amerikaans,American,美国的,ADJ
Australisch,Australian,澳大利亚的,ADJ
Frans,French,法语的,ADJ
Nederlands,Dutch,荷兰语,NOUN
aangezien,since,既然,SCONJ
aannemen,to accept,接受,VERB
aanwezig,present,在场,ADJ
acht,eight,八,NUM
achternaam,surname,姓氏,NOUN
acteur,actor,演员,NOUN
actief,active,活跃,ADJ
advies,advice,建议,NOUN
afronden,to finish,完成,VERB
afspraak,appointment,约定,NOUN
afspreken,to agree,约定,VERB
afstand,distance,距离,NOUN
afwijzen,to reject,拒绝,VERB
agenda,planner,日程本,NOUN
algemeen,general,一般的,ADJ
allerlei,all kinds,各种各样的,DET
alsof,as if,好像,SCONJ
ambulance,ambulance,救护车,NOUN
angst,fear,恐惧,NOUN
antwoord,answer,回答,NOUN
apart,separate,分开的,ADJ
baan,job,工作,NOUN
bakken,to bake,烤,VERB
balkon,balcony,阳台,NOUN
baseren,to base,以...为基础,VERB
basisschool,primary school,小学,NOUN
beantwoorden,to answer,回答,VERB
bedenken,to think up,想出,VERB
bedoelen,to mean,意思是,VERB
beeld,image,图像,NOUN
behalve,except,除了,ADP
beker,cup,杯子,NOUN
belang,interest,兴趣,NOUN
beleid,policy,政策,NOUN
belofte,promise,承诺,NOUN
beloven,to promise,承诺,VERB
bepaald,certain,特定的,ADJ
bereiken,to reach,到达,VERB
bericht,message,消息,NOUN
beschadigen,to damage,损坏,VERB
beschermen,to protect,保护,VERB
beschikbaar,available,可用的,ADJ
beslissen,to decide,决定,VERB
beslissing,decision,决定,NOUN
bespreken,to discuss,讨论,VERB
bestaan,to exist,存在,VERB
bestaande,existing,现有的,ADJ
bestuur,management,管理,NOUN
betreffen,to concern,关于,VERB
betrokken,involved,涉及的,ADJ
bevolking,population,人口,NOUN
bewaren,to keep,保存,VERB
beweging,movement,运动,NOUN
bewijs,proof,证据,NOUN
bewijzen,to prove,证明,VERB
bezoek,visit,访问,NOUN
bieden,to offer,提供,VERB
bijten,to bite,咬,VERB
bijzonder,special,特别的,ADJ
bioscoop,cinema,电影院,NOUN
blad,leaf,叶子,NOUN
blijkbaar,apparently,显然,ADV
blok,block,块,NOUN
bom,bomb,炸弹,NOUN
boodschap,message,消息,NOUN
boos,angry,生气的,ADJ
borst,chest,胸部,NOUN
bouw,construction,建筑,NOUN
bovendien,moreover,此外,ADV
brand,fire,火,NOUN
branden,to burn,燃烧,VERB
brandweer,fire brigade,消防队,NOUN
breken,to break,打破,VERB
broer,brother,兄弟,NOUN
bron,source,来源,NOUN
buik,belly,腹部,NOUN
burgemeester,mayor,市长,NOUN
centraal,central,中心的,ADJ
chauffeur,driver,司机,NOUN
controle,control,控制,NOUN
cultuur,culture,文化,NOUN
cursus,course,课程,NOUN
daarbij,besides,此外,ADV
daarmee,with that,以此,ADV
daarnaast,in addition,此外,ADV
daarvan,of it,其中,ADV
daarvoor,for that,为此,ADV
dagelijks,daily,每日的,ADJ
dankzij,thanks to,多亏,ADP
deelnemen,to participate,参加,VERB
derde,third,第三,ADJ
dicht,closed,关闭的,ADJ
dichterbij,closer,更近,ADV
dienst,service,服务,NOUN
ding,thing,事情,NOUN
directeur,director,经理,NOUN
doden,to kill,杀死,VERB
doordat,because,因为,SCONJ
doorgaan,to continue,继续,VERB
doos,box,盒子,NOUN
dorp,village,村庄,NOUN
douche,shower,淋浴,NOUN
douchen,to shower,淋浴,VERB
downloaden,to download,下载,VERB
drank,drink,饮料,NOUN
drankje,drink,饮料,NOUN
drogen,to dry,弄干,VERB
droom,dream,梦,NOUN
drukken,to press,按,VERB
dubbel,double,双倍的,ADJ
duiken,to dive,潜水,VERB
durven,to dare,敢于,VERB
duwen,to push,推,VERB
dweilen,to mop,拖,VERB
economie,economy,经济,NOUN
eerlijk,honest,诚实的,ADJ
eeuw,century,世纪,NOUN
eindelijk,finally,终于,ADV
