csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
164,desalentar,to discourage,使气馁,VERB,es,Advanced,1,keep,clean
404,deslegitimar,to delegitimize,使失去合法性,VERB,es,Advanced,2,keep,clean
789,doliente,suffering,受苦的,ADJ,es,Advanced,3,keep,clean
815,dudoso,doubtful,可疑的,ADJ,es,Advanced,4,keep,clean
820,dueto,duet,二重奏,NOUN,es,Advanced,5,keep,clean
921,embocadura,mouth,河口,NOUN,es,Advanced,6,keep,clean
1148,enmarcar,frame,装框,VERB,es,Advanced,7,keep,clean
1490,esposar,to handcuff,给…戴手铐,VERB,es,Advanced,8,keep,clean
1507,esquivez,aloofness,冷漠,NOUN,es,Advanced,9,keep,clean
1552,estigmatizar,to stigmatize,污名化,VERB,es,Advanced,10,keep,clean
1879,fascinador,fascinating,迷人的,ADJ,es,Advanced,11,keep,clean
1890,fatalista,fatalist,宿命论者,NOUN,es,Advanced,12,keep,clean
2328,gasto,expense,花费,NOUN,es,Advanced,13,keep,clean
2364,germinar,to germinate,发芽,VERB,es,Advanced,14,keep,clean
2469,gravemente,gravely,严重地,ADV,es,Advanced,15,keep,clean
2675,higiénico,hygienic,卫生的,ADJ,es,Advanced,16,keep,clean
2714,hipótesis,hypothesis,假设,NOUN,es,Advanced,17,keep,clean
2757,homenajear,to pay homage to,致敬,VERB,es,Advanced,18,keep,clean
3188,indumentaria,clothing,服装,NOUN,es,Advanced,19,keep,clean
3189,indígena,indigenous,土著的,ADJ,es,Advanced,20,keep,clean
3403,irreligioso,irreligious,不信教的,ADJ,es,Advanced,21,keep,clean
3580,notorio,notorious,臭名昭著的,ADJ,es,Advanced,22,keep,clean
3795,vicisitud,vicissitude,变迁,NOUN,es,Advanced,23,keep,clean
3824,índice,index,索引,NOUN,es,Advanced,24,keep,clean
