lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,C1,1,2911,recipient,recipient,接受者,NOUN,keep,clean
en,C1,2,1565,esteem,esteem,尊重,NOUN,keep,clean
en,C1,3,3219,shun,shun,避开,VERB,keep,clean
en,C1,4,666,chore,chore,家务,NOUN,keep,clean
en,C1,5,974,decamp,decamp,突然离开,VERB,keep,clean
en,C1,6,3450,surmise,surmise,推测,VERB,keep,clean
en,C1,7,3866,wanton,wanton,肆意的,ADJ,keep,clean
en,C1,8,506,brakeman,brakeman,刹车员,NOUN,keep,clean
en,C1,9,177,arid,arid,干旱的,ADJ,keep,clean
en,C1,10,235,astride,astride,跨坐,ADP,keep,clean
en,C1,11,1294,distend,distend,膨胀,VERB,keep,clean
en,C1,12,3171,seemly,seemly,得体的,ADJ,keep,clean
en,C1,13,3552,thereafter,thereafter,此后,ADV,keep,clean
en,C1,14,540,bruise,bruise,瘀伤,NOUN,keep,clean
en,C1,15,1521,entrap,entrap,诱捕,VERB,keep,clean
en,C1,16,1813,fossil,fossil,化石,NOUN,keep,clean
en,C1,17,286,autocracy,autocracy,专制,NOUN,keep,clean
en,C1,18,1572,ethics,ethics,伦理学,NOUN,keep,clean
en,C1,19,3886,whereas,whereas,然而,SCONJ,keep,clean
en,C1,20,270,augur,augur,预言,VERB,keep,clean
en,C1,21,697,clinch,clinch,敲定,VERB,keep,clean
en,C1,22,1450,enamor,enamor,使迷恋,VERB,keep,clean
en,C1,23,60,amuse,amuse,逗乐,VERB,keep,clean
en,C1,24,1715,fiancé,fiancé,未婚夫,NOUN,keep,clean
