English_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
a bit,a bit,一点,ADV,B2
a little,a little,一点儿,ADV,B2
a while,a while,一会儿,NOUN,B2
able to play,able to play,能下,NOUN,B2
above,above,上面,ADV,B2
abroad,abroad,国外,NOUN,B2
academician,academician,院士,NOUN,B2
acceleration,acceleration,加速,NOUN,B2
accept me,accept me,受我,NOUN,B2
accession,accession,即位,NOUN,B2
accidental,accidental,偶然的,ADJ,B2
accidentally,accidentally,意外地,ADV,B2
acclimatization,acclimatization,适应环境,NOUN,B2
accompany or not,accompany or not,陪不,NOUN,B2
according to,according to,根据,ADP,B2
according to,according to,要照,NOUN,B2
accountant,accountant,会计师,NOUN,B2
accredited,accredited,认可的,ADJ,B2
acculturation,acculturation,文化涵化,NOUN,B2
accustomed,accustomed,习惯的,ADJ,B2
acid,acid,酸,NOUN,B2
acidity,acidity,酸度,NOUN,B2
acoustics,acoustics,声学,NOUN,B2
acrobatics,acrobatics,杂技,NOUN,B2
to act,to act,行动,VERB,B2
to act as host,to act as host,做东,VERB,B2
to act rashly,to act rashly,妄动,VERB,B2
acting,acting,行为,NOUN,B2
actual,actual,实际的,ADJ,B2
adaptation,adaptation,适应,NOUN,B2
additional,additional,额外的,ADJ,B2
adequacy,adequacy,也不错,NOUN,B2
administrative,administrative,行政的,ADJ,B2
admittedly,admittedly,诚然,ADV,B2
adolescent,adolescent,青少年,NOUN,B2
adult,adult,成年的,ADJ,B2
to advance,to advance,前进,VERB,B2
advance payment,advance payment,预付款,NOUN,B2
advanced technology,advanced technology,先进,ADJ,B2
adversity,adversity,逆境,NOUN,B2
advertising,advertising,广告的,ADJ,B2
to advise against,to advise against,劝阻,VERB,B2
to advocate,to advocate,提倡,VERB,B2
aesthetics,aesthetics,美学,NOUN,B2
affordability,affordability,得起,NOUN,B2
afforestation,afforestation,植树造林,NOUN,B2
after,after,تلو,NOUN,B2
after,after,在...之后,SCONJ,B2
after all,after all,毕竟,ADV,B2
after that,after that,此后,ADV,B2
after which,after which,之后,ADV,B2
aftereffect,aftereffect,后遗症，后果,NOUN,B2
