csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
54,完毕,to finish,完毕,VERB,zh,Advanced,1,keep,clean
109,富裕,prosperous,富裕,ADJ,zh,Advanced,2,keep,clean
367,徘徊,to pace back and forth,徘徊,VERB,zh,Advanced,3,keep,clean
526,我俩,we two,我俩,PRON,zh,Advanced,4,keep,clean
569,层面,level,层面,NOUN,zh,Advanced,5,keep,clean
741,解雇,dismiss,解雇,VERB,zh,Advanced,6,keep,clean
883,反诉,counterclaim,反诉,VERB,zh,Advanced,7,keep,clean
898,不可估量,immeasurable,不可估量,ADJ,zh,Advanced,8,keep,clean
1011,听证,hearing,听证,NOUN,zh,Advanced,9,keep,clean
1091,起义,uprising,起义,NOUN,zh,Advanced,10,keep,clean
1299,木薯,cassava,木薯,NOUN,zh,Advanced,11,keep,clean
1495,匮乏,scarcity,匮乏,NOUN,zh,Advanced,12,keep,clean
1520,飓风,hurricane,飓风,NOUN,zh,Advanced,13,keep,clean
1714,纳米技术,nanotechnology,纳米技术,NOUN,zh,Advanced,14,keep,clean
1878,冷漠,indifferent,冷漠,ADJ,zh,Advanced,15,keep,clean
1983,保守性,conservative,保守性,ADJ,zh,Advanced,16,keep,clean
2117,冬季,winter,冬季,NOUN,zh,Advanced,17,keep,clean
2334,付汇,pay foreign exchange,付汇,VERB,zh,Advanced,18,keep,clean
2365,低气压,low pressure,低气压,NOUN,zh,Advanced,19,keep,clean
2421,乡道,township road,乡道,NOUN,zh,Advanced,20,keep,clean
2434,天桥,pedestrian bridge,天桥,NOUN,zh,Advanced,21,keep,clean
2453,维修,repair,维修,NOUN,zh,Advanced,22,keep,clean
2489,必修课,required course,必修课,NOUN,zh,Advanced,23,keep,clean
2571,致歉,apologize,致歉,VERB,zh,Advanced,24,keep,clean
