Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
آخر,last,最后的,ADJ
آه,ah,啊,INTJ
أتاي,tea,茶,NOUN
أجنبي,foreigner,外国人,NOUN
ألف,thousand,千,NUM
أنا,I,我,PRON
أول,first,第一,ADJ
إمتا,when,什么时候,ADV
إييه,yes,是的,INTJ
أخضر,green,绿色的,ADJ
باب,door,门,NOUN
أب,father,父亲,NOUN
بارد,cold,冷的,ADJ
باطل,false,错误的,ADJ
باع,sell,卖,VERB
بحر,sea,海,NOUN
شاطئ,beach,海滩,NOUN
بدأ,start,开始,VERB
خارج,outside,外面,ADV
برد,cold,寒冷,NOUN
كثير,very,非常,ADV
بصلة,onion,洋葱,NOUN
بطاطا,potato,土豆,NOUN
بطاقة,card,卡片,NOUN
بعد,after,在...之后,ADP
بعيد,far,远的,ADJ
بغى,want,想要,VERB
بقرة,cow,牛,NOUN
بقى,stay/remain,停留/留下,VERB
بكري,early,早的,ADV
بكى,cry/weep,哭,VERB
بلاد,country/land,国家/土地,NOUN
موز,bananas,香蕉,NOUN
بنت,girl/daughter,女孩/女儿,NOUN
بنفسجي,purple,紫色的,ADJ
بنين,delicious/tasty,美味的,ADJ
لمبة,lightbulb,灯泡,NOUN
بيبي,baby,婴儿,NOUN
بيت,house,房子,NOUN
بين,between,在...之间,ADP
تأشيرة,visa,签证,NOUN
تاني,second/again,第二/又,ADJ
تحت,under,在...下,ADP
تذكرة,ticket,票,NOUN
تراب,dirt/soil,泥土,NOUN
قطار,train,火车,NOUN
تريكو,sweater/knitwear,毛衣,NOUN
تسعة,nine,九,NUM
تسعين,ninety,九十,NUM
تفاح,apple,苹果,NOUN
تفتيش,inspection,检查,NOUN
تفكر,think,思考,VERB
تقاشر,socks,袜子,NOUN
تقيل,heavy,重的,ADJ
تلتناش,thirteen,十三,NUM
تلفزة,television,电视,NOUN
تلميذ,student,学生,NOUN
تمانية,eight,八,NUM
تمانين,eighty,八十,NUM
تمشى,walk,走,VERB
تمنطاش,eighteen,十八,NUM
تناش,twelve,十二,NUM
تيران,field,场地,NOUN
ثانية,second,秒,NOUN
ثعلب,fox,狐狸,NOUN
ثلاجة,refrigerator,冰箱,NOUN
ثلج,snow,雪,NOUN
ثومة,garlic,大蒜,NOUN
جا,come,来,VERB
جار,neighbor,邻居,NOUN
جامع,mosque,清真寺,NOUN
جاوب,answer,回答,VERB
جبل,mountain,山,NOUN
جد,grandfather,祖父,NOUN
جدة,grandmother,祖母,NOUN
جديد,new,新的,ADJ
جر,pull,拉,VERB
جرح,wound,伤口,NOUN
جرى,run,跑,VERB
جزار,butcher,屠夫,NOUN
جفاف,dryness,干燥,NOUN
جفف,dry,弄干,VERB
جلبانة,peas,豌豆,NOUN
جلد,skin,皮肤,NOUN
جلس,sit,坐,VERB
جمارك,customs,海关,NOUN
جمع,collect,收集,VERB
جمل,camel,骆驼,NOUN
جنان,garden,花园,NOUN
جيب,pocket,口袋,NOUN
حار,hot,热的,ADJ
حارس,guard,守卫,NOUN
حامض,sour,酸的,ADJ
حانوت,shop,商店,NOUN
حبس,imprisonment,监禁,NOUN
حجبان,eyebrows,眉毛,NOUN
حجرة,room,房间,NOUN
