lang,level,csv_line,lemma,english_lemma,chinese_lemma,upos,source_file
en,A1,2,a,a,一个,DET,english/A1.csv
en,A1,3,able,able,能够的,ADJ,english/A1.csv
en,A1,4,about,about,关于,ADP,english/A1.csv
en,A1,5,above,above,在...之上,ADP,english/A1.csv
en,A1,6,accident,accident,事故,NOUN,english/A1.csv
en,A1,7,across,across,穿过,ADP,english/A1.csv
en,A1,8,act,act,行动,NOUN,english/A1.csv
en,A1,9,actually,actually,实际上,ADV,english/A1.csv
en,A1,10,afraid,afraid,害怕的,ADJ,english/A1.csv
en,A1,11,after,after,在...之后,ADP,english/A1.csv
en,A1,12,again,again,再次,ADV,english/A1.csv
en,A1,13,against,against,反对,ADP,english/A1.csv
en,A1,14,age,age,年龄,NOUN,english/A1.csv
en,A1,15,ago,ago,以前,ADV,english/A1.csv
en,A1,16,agree,agree,同意,VERB,english/A1.csv
en,A1,17,ahead,ahead,在前面,ADV,english/A1.csv
en,A1,18,air,air,空气,NOUN,english/A1.csv
en,A1,19,alive,alive,活着的,ADJ,english/A1.csv
en,A1,20,all,all,全部,DET,english/A1.csv
en,A1,21,almost,almost,几乎,ADV,english/A1.csv
en,A1,22,alone,alone,单独的,ADJ,english/A1.csv
en,A1,23,along,along,沿着,ADP,english/A1.csv
en,A1,24,already,already,已经,ADV,english/A1.csv
en,A1,25,alright,alright,好的,ADV,english/A1.csv
en,A1,26,also,also,也,ADV,english/A1.csv
en,A1,27,always,always,总是,ADV,english/A1.csv
en,A1,28,amazing,amazing,令人惊叹的,ADJ,english/A1.csv
en,A1,29,an,an,一个,DET,english/A1.csv
en,A1,30,and,and,和,CCONJ,english/A1.csv
en,A1,31,answer,answer,回答,NOUN,english/A1.csv
en,A1,32,any,any,任何,DET,english/A1.csv
en,A1,33,anybody,anybody,任何人,PRON,english/A1.csv
en,A1,34,anymore,anymore,再,ADV,english/A1.csv
en,A1,35,anyone,anyone,任何人,PRON,english/A1.csv
en,A1,36,anything,anything,任何事,PRON,english/A1.csv
en,A1,37,anyway,anyway,无论如何,ADV,english/A1.csv
en,A1,38,anywhere,anywhere,任何地方,ADV,english/A1.csv
en,A1,39,area,area,区域,NOUN,english/A1.csv
en,A1,40,around,around,在周围,ADP,english/A1.csv
en,A1,41,ask,ask,问,VERB,english/A1.csv
en,A1,42,at,at,在,ADP,english/A1.csv
en,A1,43,away,away,离开,ADV,english/A1.csv
en,A1,44,baby,baby,婴儿,NOUN,english/A1.csv
en,A1,45,back,back,回来,ADV,english/A1.csv
en,A1,46,bad,bad,坏的,ADJ,english/A1.csv
en,A1,47,bag,bag,包,NOUN,english/A1.csv
en,A1,48,be,be,是,VERB,english/A1.csv
en,A1,49,beat,beat,打败,VERB,english/A1.csv
en,A1,50,beautiful,beautiful,美丽的,ADJ,english/A1.csv
en,A1,51,because,because,因为,SCONJ,english/A1.csv
en,A1,52,become,become,变成,VERB,english/A1.csv
en,A1,53,bed,bed,床,NOUN,english/A1.csv
en,A1,54,before,before,在...之前,ADP,english/A1.csv
en,A1,55,behind,behind,在...后面,ADP,english/A1.csv
en,A1,56,believe,believe,相信,VERB,english/A1.csv
en,A1,57,best,best,最好的,ADJ,english/A1.csv
en,A1,58,bet,bet,打赌,VERB,english/A1.csv
en,A1,59,better,better,更好的,ADJ,english/A1.csv
en,A1,60,between,between,在...之间,ADP,english/A1.csv
en,A1,61,big,big,大的,ADJ,english/A1.csv
en,A1,62,birthday,birthday,生日,NOUN,english/A1.csv
en,A1,63,bit,bit,一点,NOUN,english/A1.csv
en,A1,64,black,black,黑色的,ADJ,english/A1.csv
en,A1,65,boat,boat,船,NOUN,english/A1.csv
en,A1,66,book,book,书,NOUN,english/A1.csv
en,A1,67,born,born,出生,VERB,english/A1.csv
en,A1,68,boss,boss,老板,NOUN,english/A1.csv
