Chinese_Lemma,English_Translation,Spanish_Translation,POS
一旦,in case (sth happens),en caso de (que algo suceda),X
一致,unanimous,unánime,X
一路,the whole journey,todo el trayecto,X
一辈子,(for) a lifetime,(para) toda la vida,X
丁,fourth of 10 heavenly stems 十天干,cuarto de los diez troncos celestes,X
万一,just in case,por si acaso,X
上当,taken in (by sb's deceit),engañado (por el engaño de alguien),X
下载,to download,descargar,X
不免,inevitably,inevitablemente,X
不好意思,to feel embarrassed,sentir vergüenza,X
不如,not equal to,inferior a,X
不安,unpeaceful,inquieto,X
不得了,desperately serious,sumamente grave,X
不必,need not,no es necesario,X
不断,unceasing,incesante,X
不然,not so,de lo contrario,X
不耐烦,impatience,impaciencia,X
不要紧,unimportant,sin importancia,X
不见得,not necessarily,no necesariamente,X
不足,insufficient,insuficiente,X
与其,rather than...,más bien que...,X
丑,shameful,vergonzoso,X
专家,expert,experto,X
专心,to concentrate,concentrarse,X
丙,third of 10 heavenly stems 十天干,tercero de los diez troncos celestes,X
业余,spare time,tiempo libre,X
业务,business,negocio,X
丝毫,the slightest amount or degree,la más mínima cantidad o grado,X
丝绸,silk cloth,seda,X
严肃,solemn,solemne,X
个人,individual / personal,individual / personal,X
个别,individual / specific,individual / específico,X
个性,individuality,individualidad,X
中介,to act as intermediary,actuar como intermediario,X
中心,center,centro,X
中旬,middle third of a month,el tercio central de un mes,X
临时,at the instant sth happens,en el momento en que sucede algo,X
主人,master,dueño,X
主席,chairperson,presidente,X
主张,to advocate,defender,X
主持,to take charge of,presidir,X
主观,subjective,subjetivo,X
举,to lift,levantar,X
义务,duty,deber,X
乐观,optimistic,optimista,X
乖,(of a child) obedient,(de un niño) obediente,X
乘,to ride,montar,X
乙,second of 10 heavenly stems 十天干,segundo de los diez troncos celestes,X
书架,bookshelf,estantería,X
了不起,amazing,asombroso,X
争取,to fight for,luchar por,X
争论,to argue,discutir,X
事先,in advance,con antelación,X
事实,fact,hecho,X
事物,thing,cosa,X
交换,to exchange,intercambiar,X
交际,communication,comunicación,X
产品,goods,productos,X
产生,to arise,surgir,X
享受,to enjoy,disfrutar,X
亲切,amiable,afable,X
亲爱,dear,querido,X
亲自,personally,personalmente,X
人事,human affairs,asuntos de personal,X
人口,population,población,X
人员,staff,personal,X
人才,a person's talent,el talento de una persona,X
人物,person,personaje,X
人生,life (one's time on earth),vida (el tiempo en la tierra),X
人类,humanity,la humanidad,X
从事,to go for,dedicarse a,X
从前,previously,anteriormente,X
从此,from now on,desde entonces,X
从而,thus,por lo tanto,X
付款,to pay a sum of money,pagar una suma de dinero,X
以及,as well as,así como,X
以来,since (a previous event),desde (un evento anterior),X
价值,value,valor,X
仿佛,to seem,parecer,X
企业,company,empresa,X
企图,to attempt,intentar,X
休闲,leisure,ocio,X
优势,superiority,ventaja,X
优惠,preferential,preferencial,X
优美,graceful,elegante,X
伙伴,partner,compañero,X
会计,accountant,contador,X
伟大,great,grande,X
传播,to disseminate,difundir,X
传染,to infect,contagiar,X
传统,tradition,tradición,X
传说,legend,leyenda,X
传递,to transmit,transmitir,X
伸,to stretch,estirar,X
似乎,apparently,aparentemente,X
似的,seems as if,parece como si,X
位置,position,posición,X
体会,to know from experience,comprender por experiencia,X
体现,to embody,plasmar,X
体积,volume,volumen,X
体贴,considerate (of other people's needs),considerado (con las necesidades de los demás),X
体验,to experience for oneself,experimentar por uno mismo,X
何况,let alone,aparte de,X
何必,there is no need,no hay necesidad,X
