csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
172,ذروة,peak,顶峰,NOUN,ar,C1,1,keep,clean
298,متواطئ,complicit,共谋的,ADJ,ar,C1,2,keep,clean
299,خلافة,succession,继承,NOUN,ar,C1,3,keep,clean
710,مئوية,centenary,百年纪念,NOUN,ar,C1,4,keep,clean
876,جبروت,tyrannical might,强权,NOUN,ar,C1,5,keep,clean
1141,امتيازية,privilege,特权性,NOUN,ar,C1,6,keep,clean
1212,تحصيل,collection,征收,NOUN,ar,C1,7,keep,clean
1215,قاعدة,base,基数,NOUN,ar,C1,8,keep,clean
1420,سري,confidential,机密的,ADJ,ar,C1,9,keep,clean
1428,مداهمات,raids,突袭,NOUN,ar,C1,10,keep,clean
1722,زور,to forge,伪造,VERB,ar,C1,11,keep,clean
1723,دلس,to defraud,欺骗,VERB,ar,C1,12,keep,clean
1916,تَشَنُّج,spasm / convulsion,痉挛 / 抽搐,NOUN,ar,C1,13,keep,clean
2027,هَنْدَسة,engineering,工程,NOUN,ar,C1,14,keep,clean
2056,رافِعة,lever / crane,杠杆 / 起重机,NOUN,ar,C1,15,keep,clean
2261,تَلْقيح,pollination,授粉,NOUN,ar,C1,16,keep,clean
2328,مِلاحِيّ,navigational,导航的,ADJ,ar,C1,17,keep,clean
2895,ذرائعية,instrumentalist,工具主义的,ADJ,ar,C1,18,keep,clean
2900,سفسطائي,sophistic,诡辩的,ADJ,ar,C1,19,keep,clean
3022,أديب,litterateur,文学家,NOUN,ar,C1,20,keep,clean
3111,إيقاعية,rhythmicity,节奏性,NOUN,ar,C1,21,keep,clean
3516,متوقد,brilliantly keen,明亮的/敏锐的,ADJ,ar,C1,22,keep,clean
3569,اصطلاحية,conventionality,约定俗成,NOUN,ar,C1,23,keep,clean
3655,رأسا,directly,直接地,ADV,ar,C1,24,keep,clean
