csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
18,air,air,空气,NOUN,en,A1,1,keep,clean
54,before,before,在...之前,ADP,en,A1,2,keep,clean
71,boy,boy,男孩,NOUN,en,A1,3,keep,clean
96,choice,choice,选择,NOUN,en,A1,4,keep,clean
148,even,even,甚至,ADV,en,A1,5,keep,clean
160,face,face,脸,NOUN,en,A1,6,keep,clean
197,future,future,未来,NOUN,en,A1,7,keep,clean
203,go,go,去,VERB,en,A1,8,keep,clean
209,guy,guy,家伙,NOUN,en,A1,9,keep,clean
252,important,important,重要的,ADJ,en,A1,10,keep,clean
256,into,into,进入,ADP,en,A1,11,keep,clean
277,life,life,生活,NOUN,en,A1,12,keep,clean
300,marry,marry,结婚,VERB,en,A1,13,keep,clean
312,miss,miss,错过,VERB,en,A1,14,keep,clean
313,missing,missing,失踪的,ADJ,en,A1,15,keep,clean
378,power,power,力量,NOUN,en,A1,16,keep,clean
382,promise,promise,承诺,NOUN,en,A1,17,keep,clean
394,real,real,真实的,ADJ,en,A1,18,keep,clean
475,stupid,stupid,愚蠢的,ADJ,en,A1,19,keep,clean
507,time,time,时间,NOUN,en,A1,20,keep,clean
515,top,top,顶部,NOUN,en,A1,21,keep,clean
525,two,two,二,NUM,en,A1,22,keep,clean
565,woman,woman,女人,NOUN,en,A1,23,keep,clean
572,worry,worry,担心,VERB,en,A1,24,keep,clean
52,bird,bird,鸟,NOUN,en,A2,1,keep,clean
63,bother,bother,打扰,VERB,en,A2,2,keep,clean
68,brave,brave,勇敢的,ADJ,en,A2,3,keep,clean
85,captain,captain,队长,NOUN,en,A2,4,keep,clean
87,career,career,职业,NOUN,en,A2,5,keep,clean
110,college,college,学院,NOUN,en,A2,6,keep,clean
121,consider,consider,考虑,VERB,en,A2,7,keep,clean
128,copy,copy,副本,NOUN,en,A2,8,keep,clean
145,danger,danger,危险,NOUN,en,A2,9,keep,clean
151,decision,decision,决定,NOUN,en,A2,10,keep,clean
157,detective,detective,侦探,NOUN,en,A2,11,keep,clean
172,dry,dry,干的,ADJ,en,A2,12,keep,clean
199,fake,fake,假的,ADJ,en,A2,13,keep,clean
206,fear,fear,恐惧,NOUN,en,A2,14,keep,clean
271,immediately,immediately,立即,ADV,en,A2,15,keep,clean
282,introduce,introduce,介绍,VERB,en,A2,16,keep,clean
403,property,property,财产,NOUN,en,A2,17,keep,clean
412,radio,radio,收音机,NOUN,en,A2,18,keep,clean
428,responsibility,responsibility,责任,NOUN,en,A2,19,keep,clean
434,risk,risk,风险,NOUN,en,A2,20,keep,clean
443,scream,scream,尖叫,VERB,en,A2,21,keep,clean
469,smart,smart,聪明的,ADJ,en,A2,22,keep,clean
471,smile,smile,微笑,NOUN,en,A2,23,keep,clean
545,weekend,weekend,周末,NOUN,en,A2,24,keep,clean
38,article,article,文章,NOUN,en,B1,1,keep,clean
99,bury,bury,埋葬,VERB,en,B1,2,keep,clean
123,change,change,变化,NOUN,en,B1,3,keep,clean
128,chatter,chatter,喋喋不休,VERB,en,B1,4,keep,clean
158,comfort,comfort,安慰,VERB,en,B1,5,keep,clean
256,drawing,drawing,图画,NOUN,en,B1,6,keep,clean
301,extremely,extremely,极其,ADV,en,B1,7,keep,clean
303,factory,factory,工厂,NOUN,en,B1,8,keep,clean
307,false,false,错误的,ADJ,en,B1,9,keep,clean
335,friendly,friendly,友好的,ADJ,en,B1,10,keep,clean
366,grave,grave,坟墓,NOUN,en,B1,11,keep,clean
411,insist,insist,坚持,VERB,en,B1,12,keep,clean
424,iron,iron,铁,NOUN,en,B1,13,keep,clean
538,painful,painful,疼痛的,ADJ,en,B1,14,keep,clean
543,panic,panic,恐慌,NOUN,en,B1,15,keep,clean
566,pity,pity,遗憾,NOUN,en,B1,16,keep,clean
586,precious,precious,珍贵的,ADJ,en,B1,17,keep,clean
597,prize,prize,奖品,NOUN,en,B1,18,keep,clean
626,related,related,相关的,ADJ,en,B1,19,keep,clean
631,repeat,repeat,重复,VERB,en,B1,20,keep,clean
646,rob,rob,抢劫,VERB,en,B1,21,keep,clean
716,smell,smell,气味,NOUN,en,B1,22,keep,clean
747,stock,stock,库存,NOUN,en,B1,23,keep,clean
751,stranger,stranger,陌生人,NOUN,en,B1,24,keep,clean
2,abandon,abandon,放弃,VERB,en,B2,1,keep,clean
134,advertising,advertising,广告业,NOUN,en,B2,2,keep,clean
235,athlete,athlete,运动员,NOUN,en,B2,3,keep,clean
294,blanket,blanket,毯子,NOUN,en,B2,4,keep,clean
309,bore,bore,使厌烦,VERB,en,B2,5,keep,clean
385,chemistry,chemistry,化学,NOUN,en,B2,6,keep,clean
431,comment,comment,评论,NOUN,en,B2,7,keep,clean
472,contain,contain,包含,VERB,en,B2,8,keep,clean
566,detailed,detailed,详细的,ADJ,en,B2,9,keep,clean
708,explode,explode,爆炸,VERB,en,B2,10,keep,clean
792,fry,fry,油炸,VERB,en,B2,11,keep,clean
861,hatred,hatred,仇恨,NOUN,en,B2,12,keep,clean
868,helmet,helmet,头盔,NOUN,en,B2,13,keep,clean
903,ignorant,ignorant,无知的,ADJ,en,B2,14,keep,clean
918,independence,independence,独立,NOUN,en,B2,15,keep,clean
978,kidney,kidney,肾脏,NOUN,en,B2,16,keep,clean
1095,mortgage,mortgage,抵押贷款,NOUN,en,B2,17,keep,clean
1113,nest,nest,巢,NOUN,en,B2,18,keep,clean
1300,racist,racist,种族主义者,NOUN,en,B2,19,keep,clean
1346,regardless,regardless,不管,ADV,en,B2,20,keep,clean
1478,shuttle,shuttle,穿梭巴士,NOUN,en,B2,21,keep,clean
1522,spike,spike,尖刺,NOUN,en,B2,22,keep,clean
1649,toxic,toxic,有毒的,ADJ,en,B2,23,keep,clean
1693,urge,urge,强烈要求,VERB,en,B2,24,keep,clean
117,apathy,apathy,冷漠,NOUN,en,C1,1,keep,clean
303,backbone,backbone,脊梁,NOUN,en,C1,2,keep,clean
360,befall,befall,降临,VERB,en,C1,3,keep,clean
427,biweekly,biweekly,双周的,ADJ,en,C1,4,keep,clean
464,boast,boast,吹嘘,VERB,en,C1,5,keep,clean
621,cavil,cavil,吹毛求疵,VERB,en,C1,6,keep,clean
680,claw,claw,爪子,NOUN,en,C1,7,keep,clean
1083,depute,depute,委派,VERB,en,C1,8,keep,clean
1374,effuse,effuse,流出,VERB,en,C1,9,keep,clean
1677,fathom,fathom,理解,VERB,en,C1,10,keep,clean
1716,flail,flail,乱打,VERB,en,C1,11,keep,clean
1759,fodder,fodder,饲料,NOUN,en,C1,12,keep,clean
1968,handicap,handicap,障碍,NOUN,en,C1,13,keep,clean
2056,impersonal,impersonal,非个人的,ADJ,en,C1,14,keep,clean
2182,inviolate,inviolate,未受侵犯的,ADJ,en,C1,15,keep,clean
2226,legislation,legislation,立法,NOUN,en,C1,16,keep,clean
2540,overtake,overtake,超过,VERB,en,C1,17,keep,clean
2579,patriotic,patriotic,爱国的,ADJ,en,C1,18,keep,clean
2589,peer,peer,同龄人,NOUN,en,C1,19,keep,clean
2623,persistence,persistence,坚持,NOUN,en,C1,20,keep,clean
2742,primitive,primitive,原始的,ADJ,en,C1,21,keep,clean
2879,recession,recession,衰退,NOUN,en,C1,22,keep,clean
3037,rigid,rigid,僵硬的,ADJ,en,C1,23,keep,clean
3430,sway,sway,摇摆,VERB,en,C1,24,keep,clean
