csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
20,allá,over there,那边,ADV,es,A1,1,keep,clean
25,ambos,both,两者,DET,es,A1,2,keep,clean
26,amiga,female friend,女性朋友,NOUN,es,A1,3,keep,clean
64,café,coffee,咖啡,NOUN,es,A1,4,keep,clean
70,cambio,change,变化,NOUN,es,A1,5,keep,clean
149,después,after,之后,ADV,es,A1,6,keep,clean
162,donde,where,哪里,ADV,es,A1,7,keep,clean
207,fiesta,party,聚会,NOUN,es,A1,8,keep,clean
210,forma,shape,形状,NOUN,es,A1,9,keep,clean
245,hijo,son,儿子,NOUN,es,A1,10,keep,clean
275,lado,side,边,NOUN,es,A1,11,keep,clean
286,listo,ready,准备好的,ADJ,es,A1,12,keep,clean
296,luz,light,光,NOUN,es,A1,13,keep,clean
303,mano,hand,手,NOUN,es,A1,14,keep,clean
316,mes,month,月,NOUN,es,A1,15,keep,clean
369,padre,father,父亲,NOUN,es,A1,16,keep,clean
377,parte,part,部分,NOUN,es,A1,17,keep,clean
378,pasa,raisin,葡萄干,NOUN,es,A1,18,keep,clean
379,pasado,past,过去,ADJ,es,A1,19,keep,clean
401,planeta,planet,行星,NOUN,es,A1,20,keep,clean
424,prueba,test,测试,NOUN,es,A1,21,keep,clean
456,saber,to know,知道,VERB,es,A1,22,keep,clean
528,tú,you,你,PRON,es,A1,23,keep,clean
553,y,and,和,CCONJ,es,A1,24,keep,clean
17,ambulancia,ambulance,救护车,NOUN,es,A2,1,keep,clean
26,apoyo,support,支持,NOUN,es,A2,2,keep,clean
63,botella,bottle,瓶子,NOUN,es,A2,3,keep,clean
72,caer,to fall,落下,VERB,es,A2,4,keep,clean
107,cobarde,coward,懦夫,ADJ,es,A2,5,keep,clean
181,despacho,office,办公室,NOUN,es,A2,6,keep,clean
184,destruir,to destroy,摧毁,VERB,es,A2,7,keep,clean
206,efectivo,cash,现金,NOUN,es,A2,8,keep,clean
214,empresa,company,公司,NOUN,es,A2,9,keep,clean
215,enamorado,in love,恋爱中的,ADJ,es,A2,10,keep,clean
227,enviar,to send,发送,VERB,es,A2,11,keep,clean
231,escribir,to write,写,VERB,es,A2,12,keep,clean
235,especialmente,especially,特别,ADV,es,A2,13,keep,clean
238,esperanza,hope,希望,NOUN,es,A2,14,keep,clean
259,fantasma,ghost,鬼魂,NOUN,es,A2,15,keep,clean
294,huir,flee,逃跑,VERB,es,A2,16,keep,clean
302,imbécil,idiot,傻瓜,ADJ,es,A2,17,keep,clean
337,lluvia,rain,雨,NOUN,es,A2,18,keep,clean
362,montaña,mountain,山,NOUN,es,A2,19,keep,clean
388,oeste,west,西,NOUN,es,A2,20,keep,clean
416,pesar,weigh,称重,VERB,es,A2,21,keep,clean
417,pescado,fish,鱼,NOUN,es,A2,22,keep,clean
431,pollo,chicken,鸡,NOUN,es,A2,23,keep,clean
500,silla,chair,椅子,NOUN,es,A2,24,keep,clean
13,actividad,activity,活动,NOUN,es,B1,1,keep,clean
202,cincuenta,fifty,五十,NUM,es,B1,2,keep,clean
245,concierto,concert,音乐会,NOUN,es,B1,3,keep,clean
258,conflicto,conflict,冲突,NOUN,es,B1,4,keep,clean
293,criado,servant,仆人,NOUN,es,B1,5,keep,clean
318,delicado,delicate,精致的/微妙的,ADJ,es,B1,6,keep,clean
380,egoísta,selfish,自私的,ADJ,es,B1,7,keep,clean
384,elefante,elephant,大象,NOUN,es,B1,8,keep,clean
405,engañar,to deceive,欺骗,VERB,es,B1,9,keep,clean
432,escritor,writer,作家,NOUN,es,B1,10,keep,clean
462,excelencia,excellence,卓越,NOUN,es,B1,11,keep,clean
502,formar,form,形成,VERB,es,B1,12,keep,clean
508,fraude,fraud,欺诈,NOUN,es,B1,13,keep,clean
559,guión,script,剧本,NOUN,es,B1,14,keep,clean
602,incapaz,incapable,无能的,ADJ,es,B1,15,keep,clean
626,instinto,instinct,本能,NOUN,es,B1,16,keep,clean
698,mantenerse,to maintain oneself,保持,VERB,es,B1,17,keep,clean
732,muerte,death,死亡,NOUN,es,B1,18,keep,clean
754,ocurrir,to occur,发生,VERB,es,B1,19,keep,clean
767,otoño,autumn,秋天,NOUN,es,B1,20,keep,clean
771,participar,to participate,参与,VERB,es,B1,21,keep,clean
782,pensamiento,thought,思想,NOUN,es,B1,22,keep,clean
875,simpático,nice,友好的,ADJ,es,B1,23,keep,clean
876,sincero,sincere,真诚的,ADJ,es,B1,24,keep,clean
36,abstruso,abstruse,深奥的,ADJ,es,B2,1,keep,clean
56,acervo,heritage,遗产,NOUN,es,B2,2,keep,clean
87,actualidad,current times,现状,NOUN,es,B2,3,keep,clean
199,alentar,to encourage,鼓励,VERB,es,B2,4,keep,clean
328,aparentar,to pretend,假装,VERB,es,B2,5,keep,clean
358,aporte,contribution,贡献,NOUN,es,B2,6,keep,clean
417,arrastrar,to drag,拖,VERB,es,B2,7,keep,clean
470,asentamiento,settlement,定居点,NOUN,es,B2,8,keep,clean
498,astilla,splinter,碎片,NOUN,es,B2,9,keep,clean
527,atestiguar,to testify,作证,VERB,es,B2,10,keep,clean
547,atribución,attribution,归属,NOUN,es,B2,11,keep,clean
761,broncíneo,bronze-colored,青铜色的,ADJ,es,B2,12,keep,clean
1027,chillón,shrill,刺耳的,ADJ,es,B2,13,keep,clean
1089,clandestino,clandestine,秘密的,ADJ,es,B2,14,keep,clean
1255,conciliación,conciliation,调解,NOUN,es,B2,15,keep,clean
1263,conciudadano,fellow citizen,同胞,NOUN,es,B2,16,keep,clean
1344,conllevar,to entail,牵涉,VERB,es,B2,17,keep,clean
1363,consanguíneo,consanguineous,血亲的,ADJ,es,B2,18,keep,clean
1440,contoneo,swagger,扭摆,NOUN,es,B2,19,keep,clean
1537,corrosión,corrosion,腐蚀,NOUN,es,B2,20,keep,clean
1687,dañar,to damage,损害,VERB,es,B2,21,keep,clean
1811,inesperado,unexpected,意外的,ADJ,es,B2,22,keep,clean
1821,institución,institution,机构,NOUN,es,B2,23,keep,clean
1893,significar,to mean,意味着,VERB,es,B2,24,keep,clean
164,desalentar,to discourage,使气馁,VERB,es,C1,1,keep,clean
404,deslegitimar,to delegitimize,使失去合法性,VERB,es,C1,2,keep,clean
789,doliente,suffering,受苦的,ADJ,es,C1,3,keep,clean
815,dudoso,doubtful,可疑的,ADJ,es,C1,4,keep,clean
820,dueto,duet,二重奏,NOUN,es,C1,5,keep,clean
921,embocadura,mouth,河口,NOUN,es,C1,6,keep,clean
1148,enmarcar,frame,装框,VERB,es,C1,7,keep,clean
1490,esposar,to handcuff,给…戴手铐,VERB,es,C1,8,keep,clean
1507,esquivez,aloofness,冷漠,NOUN,es,C1,9,keep,clean
1552,estigmatizar,to stigmatize,污名化,VERB,es,C1,10,keep,clean
1879,fascinador,fascinating,迷人的,ADJ,es,C1,11,keep,clean
1890,fatalista,fatalist,宿命论者,NOUN,es,C1,12,keep,clean
2328,gasto,expense,花费,NOUN,es,C1,13,keep,clean
2364,germinar,to germinate,发芽,VERB,es,C1,14,keep,clean
2469,gravemente,gravely,严重地,ADV,es,C1,15,keep,clean
2675,higiénico,hygienic,卫生的,ADJ,es,C1,16,keep,clean
2714,hipótesis,hypothesis,假设,NOUN,es,C1,17,keep,clean
2757,homenajear,to pay homage to,致敬,VERB,es,C1,18,keep,clean
3188,indumentaria,clothing,服装,NOUN,es,C1,19,keep,clean
3189,indígena,indigenous,土著的,ADJ,es,C1,20,keep,clean
3403,irreligioso,irreligious,不信教的,ADJ,es,C1,21,keep,clean
3580,notorio,notorious,臭名昭著的,ADJ,es,C1,22,keep,clean
3795,vicisitud,vicissitude,变迁,NOUN,es,C1,23,keep,clean
3824,índice,index,索引,NOUN,es,C1,24,keep,clean
