German_Lemma,Spanish_Translation
ab,desde
aber,pero
abfahren,partir
abfahrt,salida
abfliegen,despegar
abgeben,entregar
abholen,recoger
abschließen,terminar
achtung,atención
adresse,dirección
Ahnung,idea
aktiv,
aktuell,
alle,todo
allein,solo
alles,todo
als,que
also,entonces
alt,viejo
alter,edad
Ampel,semáforo
an,en
an-sein,
anbieten,ofrecer
anderen,
anders,diferente
anfang,principio
anfangen,empezar
angebot,oferta
Angst,miedo
ankommen,llegar
ankunft,llegada
anmachen,encender
anmeldung,inscripción
anruf,llamada
anrufbeantworter,contestador automático
anrufen,llamar por teléfono
anschluss,conexión
ansehen,mirar
antwort,respuesta
antworten,responder
anzeige,anuncio
anziehen,vestir
anzug,traje
apfel,manzana
Apotheke,farmacia
apparat,aparato
arbeit,trabajo
arbeiten,trabajar
arbeitslos,desempleado
arm,brazo
arm_1,
Artikel,artículo
auch,también
auf,sobre
auf-jeden-fall,
auf-keinen-fall,
auf-sein,
aufhören,terminar
aufmachen,abrir
aufpassen,prestar atención
aufregend,emocionante
aufräumen,ordenar
aufstehen,levantarse
aufzug,ascensor
auge,ojo
aus,de
aus-sein,
Ausbildung,formación
ausflug,excursión
ausfüllen,rellenar
ausgang,salida
ausgeben,gastar
ausgehen,salir
auskunft,información
ausland,extranjero
ausmachen,apagar
auspacken,desempacar
aussehen,parecer
aussprechen,pronunciar
aussteigen,bajar
ausstellung,exposición
austauschen,intercambiar
austragen,repartir
ausweis,documento de identidad
ausziehen,quitarse
auto,coche
autobahn,autopista
automat,cajero automático
automatisch,automático
außer,excepto
außerdem,además
außerhalb,fuera de
baby,bebé
babysitter,canguro
backen,hornear
bad,baño
baden,bañarse
bahn,tren
bahnhof,estación de tren
bahnsteig,andén
bald,pronto
balkon,balcón
ball,pelota
banane,plátano
band,grupo de música
bank-geldinstitut,
bank-sitzgelegenheit,
bar,en efectivo
basketball,
basteln,hacer manualidades
bauch,vientre
bauen,construir
baum,árbol
baustelle,obra
beantworten,responder
bedeuten,significar
beenden,terminar
beginnen,empezar
begründen,justificar
bei,en
beide,ambos
bekannt,famoso
bekannte-männlich,
bekannte-weiblich,
bekommen,recibir
beliebt,popular
benutzen,utilizar
bequem,cómodo
beraten,aconsejar
berg,montaña
berichten,informar
beruf,profesión
berühmt,famoso
bescheid,respuesta
beschreiben,describir
besetzt,ocupado
besichtigen,visitar
besonders,especialmente
bestehen,aprobar
bestellen,pedir
bestätigen,confirmar
Besuch,visita
besuchen,visitar
bett,cama
bewerbung,solicitud
bewölkt,nublado
bezahlen,pagar
bibliothek,biblioteca
bier,cerveza
bild,imagen
billig,barato
birne,pera
bis,hasta
bisschen,poco
bitte,por favor
bitte_1,
bitten,pedir
bitter,amargo
blatt,hoja
bleiben,quedarse
bleistift,lápiz
blog,blog
blond,rubio
blume,flor
bluse,blusa
blöd,tonto
bohne,judía
braten,freír
brauchen,necesitar
brief,carta
briefmarke,sello
brille,gafas
bringen,traer
brot,pan
brötchen,panecillo
brücke,puente
buch,libro
buchen,reservar
buchstabe,letra
buchstabieren,deletrear
bunt,de colores
bus,autobús
butter,mantequilla
bäckerei,panadería
böse,enfadado
büro,oficina
cafeteria,cafetería
café,cafetería
chatten,chatear
chef,jefe
chefin,jefa
club,club
comic,
computer,ordenador
creme,crema
da,ahí
dabei-sein,
dafür-sein,
dagegen-sein,
damals,entonces
dame,señora
daneben,al lado
dank,agradecimiento
danke,gracias
danken,agradecer
dann,entonces
darauf,en eso
darüber,sobre eso
dass,que
datei,archivo
datum,fecha
