German_Lemma,Spanish_Translation,Source
Analyse,análisis,Academic
Struktur,estructura,Academic
Aspekt,aspecto,Academic
Forschung,investigación,Academic
Konzept,concepto,Academic
Hypothese,hipótesis,Academic
Paradigma,paradigma,Academic
Erkenntnis,conocimiento/hallazgo,Academic
Methode,método,Academic
Ansatz,enfoque,Academic
Theorie,teoría,Academic
Kontext,contexto,Academic
Relevanz,relevancia,Academic
Bedeutung,significado/importancia,Academic
Schlussfolgerung,conclusión,Academic
Darstellung,representación,Academic
Erläuterung,explicación,Academic
Begründung,justificación,Academic
Voraussetzung,requisito/condición previa,Academic
Herausforderung,desafío,Academic
Verantwortung,responsabilidad,Academic
Entscheidung,decisión,Academic
Entwicklung,desarrollo,Academic
Bildung,educación/formación,Academic
Wissenschaft,ciencia,Academic
Fachrichtung,especialidad,Academic
Akademie,academia,Academic
Anwendung,aplicación,Academic
Prozess,proceso,Academic
Problemstellung,planteamiento del problema,Academic
Fähigkeit,habilidad,Academic
analysieren,analizar,Academic
strukturieren,estructurar,Academic
diskutieren,discutir,Academic
untersuchen,investigar/examinar,Academic
betonen,enfatizar,Academic
erläutern,explicar,Academic
begründen,justificar,Academic
folgern,deducir,Academic
darstellen,representar,Academic
belegen,demostrar/probar,Academic
hervorheben,resaltar,Academic
reflektieren,reflexionar,Academic
auswerten,evaluar,Academic
anstreben,aspirar a,Academic
ausführen,ejecutar/llevar a cabo,Academic
ausgleichen,equilibrar,Academic
ausnutzen,aprovechar/explotar,Academic
beauftragen,encargar,Academic
verfügen,disponer,Academic
überzeugen,convencer,Academic
simulieren,simular,Academic
widmen,dedicar,Academic
ausloten,sondear,Academic
streben,aspirar,Academic
akademisch,académico,Academic
wissenschaftlich,científico,Academic
relevant,relevante,Academic
spezifisch,específico,Academic
abstrakt,abstracto,Academic
komplex,complejo,Academic
differenziert,diferenciado,Academic
kritisch,crítico,Academic
objektiv,objetivo,Academic
subjektiv,subjetivo,Academic
effizient,eficiente,Academic
nachhaltig,sostenible,Academic
maßgeblich,decisivo/determinante,Academic
zunehmend,creciente,Academic
vermeintlich,supuesto,Academic
anspruchsvoll,exigente,Academic
umfassend,extenso/completo,Academic
detailliert,detallado,Academic
eingehend,minucioso/a fondo,Academic
wesentlich,esencial,Academic
entscheidend,decisivo,Academic
verlässlich,confiable,Academic
umfangreich,extenso,Academic
das,,Frequency (Subtitle)
ist,,Frequency (Subtitle)
du,,Frequency (Subtitle)
die,,Frequency (Subtitle)
der,,Frequency (Subtitle)
zu,,Frequency (Subtitle)
mir,,Frequency (Subtitle)
den,,Frequency (Subtitle)
mich,,Frequency (Subtitle)
eine,,Frequency (Subtitle)
hat,,Frequency (Subtitle)
sind,,Frequency (Subtitle)
war,,Frequency (Subtitle)
habe,,Frequency (Subtitle)
bin,,Frequency (Subtitle)
einen,,Frequency (Subtitle)
uns,,Frequency (Subtitle)
hast,,Frequency (Subtitle)
dem,,Frequency (Subtitle)
kann,,Frequency (Subtitle)
ihn,,Frequency (Subtitle)
meine,,Frequency (Subtitle)
im,,Frequency (Subtitle)
wird,,Frequency (Subtitle)
bist,,Frequency (Subtitle)
alles,,Frequency (Subtitle)
weiß,,Frequency (Subtitle)
keine,,Frequency (Subtitle)
muss,,Frequency (Subtitle)
will,,Frequency (Subtitle)
ihnen,,Frequency (Subtitle)
geht,,Frequency (Subtitle)
oh,,Frequency (Subtitle)
hab,,Frequency (Subtitle)
los,,Frequency (Subtitle)
danke,,Frequency (Subtitle)
ihm,,Frequency (Subtitle)
zum,,Frequency (Subtitle)
einem,,Frequency (Subtitle)
ihre,,Frequency (Subtitle)
diese,,Frequency (Subtitle)
euch,,Frequency (Subtitle)
einer,,Frequency (Subtitle)
komm,,Frequency (Subtitle)
gibt,,Frequency (Subtitle)
okay,,Frequency (Subtitle)
deine,,Frequency (Subtitle)
soll,,Frequency (Subtitle)
werde,,Frequency (Subtitle)
hey,,Frequency (Subtitle)
würde,,Frequency (Subtitle)
tut,,Frequency (Subtitle)
am,,Frequency (Subtitle)
des,,Frequency (Subtitle)
hatte,,Frequency (Subtitle)
willst,,Frequency (Subtitle)
kommt,,Frequency (Subtitle)
wäre,,Frequency (Subtitle)
wollte,,Frequency (Subtitle)
weißt,,Frequency (Subtitle)
ok,,Frequency (Subtitle)
gesagt,,Frequency (Subtitle)
nun,,Frequency (Subtitle)
wurde,,Frequency (Subtitle)
leid,,Frequency (Subtitle)
na,,Frequency (Subtitle)
kannst,,Frequency (Subtitle)
hallo,,Frequency (Subtitle)
seine,,Frequency (Subtitle)
hätte,,Frequency (Subtitle)
zwei,,Frequency (Subtitle)
könnte,,Frequency (Subtitle)
waren,,Frequency (Subtitle)
zur,,Frequency (Subtitle)
lass,,Frequency (Subtitle)
gesehen,,Frequency (Subtitle)
wohl,,Frequency (Subtitle)
sollte,,Frequency (Subtitle)
sagte,,Frequency (Subtitle)
unsere,,Frequency (Subtitle)
ob,,Frequency (Subtitle)
keinen,,Frequency (Subtitle)
gemacht,,Frequency (Subtitle)
mach,,Frequency (Subtitle)
passiert,,Frequency (Subtitle)
dachte,,Frequency (Subtitle)
besser,,Frequency (Subtitle)
musst,,Frequency (Subtitle)
wieso,,Frequency (Subtitle)
sir,,Frequency (Subtitle)
dieses,,Frequency (Subtitle)
gehört,,Frequency (Subtitle)
möchte,,Frequency (Subtitle)
hör,,Frequency (Subtitle)
sag,,Frequency (Subtitle)
meiner,,Frequency (Subtitle)
anderen,,Frequency (Subtitle)
diesen,,Frequency (Subtitle)
gute,,Frequency (Subtitle)
wirst,,Frequency (Subtitle)
ach,,Frequency (Subtitle)
meinem,,Frequency (Subtitle)
ins,,Frequency (Subtitle)
sei,,Frequency (Subtitle)
sagt,,Frequency (Subtitle)
ihren,,Frequency (Subtitle)
vom,,Frequency (Subtitle)
sieht,,Frequency (Subtitle)
geh,,Frequency (Subtitle)
diesem,,Frequency (Subtitle)
hause,,Frequency (Subtitle)
sollten,,Frequency (Subtitle)
denke,,Frequency (Subtitle)
viele,,Frequency (Subtitle)
drei,,Frequency (Subtitle)
deinen,,Frequency (Subtitle)
guten,,Frequency (Subtitle)
warte,,Frequency (Subtitle)
machst,,Frequency (Subtitle)
menschen,,Frequency (Subtitle)
habt,,Frequency (Subtitle)
andere,,Frequency (Subtitle)
getan,,Frequency (Subtitle)
darf,,Frequency (Subtitle)
stimmt,,Frequency (Subtitle)
kinder,,Frequency (Subtitle)
eines,,Frequency (Subtitle)
ganze,,Frequency (Subtitle)
scheiße,,Frequency (Subtitle)
steht,,Frequency (Subtitle)
seid,,Frequency (Subtitle)
ihrer,,Frequency (Subtitle)
heißt,,Frequency (Subtitle)
jahre,,Frequency (Subtitle)
brauche,,Frequency (Subtitle)
beim,,Frequency (Subtitle)
gefunden,,Frequency (Subtitle)
hatten,,Frequency (Subtitle)
verdammt,,Frequency (Subtitle)
ne,,Frequency (Subtitle)
warst,,Frequency (Subtitle)
konnte,,Frequency (Subtitle)
siehst,,Frequency (Subtitle)
verstehe,,Frequency (Subtitle)
jahren,,Frequency (Subtitle)
kam,,Frequency (Subtitle)
wusste,,Frequency (Subtitle)
seinen,,Frequency (Subtitle)
ihrem,,Frequency (Subtitle)
könnten,,Frequency (Subtitle)
würden,,Frequency (Subtitle)
fall,,Frequency (Subtitle)
deiner,,Frequency (Subtitle)
sehe,,Frequency (Subtitle)
deinem,,Frequency (Subtitle)
mache,,Frequency (Subtitle)
komme,,Frequency (Subtitle)
sage,,Frequency (Subtitle)
mag,,Frequency (Subtitle)
sieh,,Frequency (Subtitle)
gib,,Frequency (Subtitle)
jeden,,Frequency (Subtitle)
dad,,Frequency (Subtitle)
gab,,Frequency (Subtitle)
männer,,Frequency (Subtitle)
fahren,,Frequency (Subtitle)
namen,,Frequency (Subtitle)
hi,,Frequency (Subtitle)
gehe,,Frequency (Subtitle)
