German_Lemma,Spanish_Translation
aas,carroña
Abend,noche
abends,por la noche
aber jetzt,pero ahora
abgehaengt,descolgado/dejado atrás
abgeholt,recogido
abgelaufen,caducado/transcurrido
abgenommen,quitado/adelgazado
abgesagt,cancelado
abgeschlossen,cerrado con llave/terminado
abgesetzt,depuesto/dejado
abgezogen,retirado
abknallen,pegar un tiro
ablaeuft,caduca/desarrolla
ablehnen,escenario
ablenken,distraer
abmachung,trato/acuerdo
abreisen,romper/arrancar
abreißen,romper/arrancar
abschalten,apagar/desconectar
abschaum,escoria
abschied,se llamaba
abschlussball,baile de graduación
absichten,intenciones
absitzen,cumplir (condena)
absolute,absoluta
abstand,distancia
abstellen,apagar/aparcar
abstrakt,abstracto
absturz,caída/accidente aéreo
absurd,absurdo
abwarten,esperar
abziehen,retirar/largarse
abzug,gatillo/descuento
abzuholen,recoger
ach,ah
achte,octavo/cuido
achten,prestar atención/cuidar
action,acción
adolf,Adolf
adoptiert,adoptado
aegypten,Egipto
ähnlich,parecido
aergert,molesta
affaeren,aventuras/asuntos
affe,mono
affen,monos
aggressiv,agresivo
ahnen,sospechar/antepasados
ahnte,sospechaba
alt,viejo (alt)
Alter,edad (alter)
Akademie,academia
akademisch,académico
akt,acto
akten,archivos/actas
aktien,acciones
aktivieren,activar
akzeptieren,aceptar
alberne,tonta/ridícula
albtraeume,pesadillas
albtraum,pesadilla
alien,alienígena
alleine,solo
allem,todo
allen,todos
allergisch,alérgico
alptraum,pesadilla
altar,altar
altes,viejo
altmodisch,anticuado
altmodische,anticuada
am,en el (an dem)
amateur,aficionado
amerika,América
amerikanerin,americana
amerikanische,americana
amerikanischen,americanos
amerikanischer,americano
amuesiert,tienes que
andauernd,continuamente
andere,otros
anderem,otro
anderes,otro
andermal,otra vez
anderthalb,uno y medio
anfaengt,empieza
Anfang,principio
anfassen,tocar
anfing,empezó
angeblich,supuestamente
angebracht,adecuado/colocado
angefahren,atropellado
angefangen,empezado
angegriffen,atacado
angehalten,detenido
angeheuert,contratado
angeklagten,acusados
angekommen,llegado
angel,caña de pescar
angelegenheiten,caliente
angelegt,invertido/creado
angemacht,encendido/ligado
angemessen,adecuado
angenommen,supuesto/aceptado
angerichtet,causado/servido
angerufen,llamado
angeschaut,mirado
angeschlossen,conectado
angesehen,mirado/considerado
angesetzt,fijado/programado
angesicht,rostro/cara
angesichts,en vista de
angespannt,tenso
angestellte,empleado
angestellten,empleados
angewiesen,dependiente/instruido
angezogen,vestido/atraído
angriff,ataque
anhand,basándose en
ankam,llegó
anklagen,acusar
anlegen,invertir/ponerse (ropa)
anmut,tienes que
annahme,suposición
anonymen,anónimos
anrufe,llamadas
anruft,llama
Ansatz,enfoque
anschauen,mirar
anscheinend,mierda
anschließend,cierra/cerrar
anschuldigungen,acusaciones
ansieht,mira
ansprache,discurso
Anspruch,derecho/reclamación
anstaendig,decente
anstaendiger,decente
anstalt,institución/manicomio
anstand,decencia
anstreben,aspirar a
anteile,acciones/partes
antenne,antena
Antrag,solicitud/propuesta
antun,hacer (daño)
antworte,responde (imperativo)
antwortest,respondes
anweisungen,blanca
anwesen,finca/propiedad
anzuenden,encender
anzunehmen,suponer/asumir
anzurufen,llamar
Apartment,apartamento
apropos,a propósito
arabisch,árabe
arabischen,poco
arbeite,trabajo
arbeitet,trabaja
arbeitete,trabajaba
arbeiteten,trabajaban
arbeitszimmer,despacho
arche,arca
archie,se llamaba
Architektur,arquitectura
argentinien,Argentina
arizona,Arizona
armband,pulsera
arme,brazos/pobre
armen,pobres/brazos
armer,pobre
armes,pobre
army,ejército
arrangieren,organizar/arreglar
arrangiert,organizado
arsch,culo
arschloch,gilipollas
aspirin,aspirina
ass,as
Assistent,asistente
assistenten,asistentes
assistentin,asistente
