Swedish_Lemma,English_Lemma,Chinese_Lemma,POS
anteckna,to note down,记录,VERB,B2
aspirant,aspirant,有抱负者,NOUN,B2
atlet,athlete,运动员,NOUN,B2
avspänd,relaxed,放松的,ADJ,B2
beteckna,to designate,标示,VERB,B2
blinkning,blink,闪烁,NOUN,B2
brottslig,criminal,犯罪的,ADJ,B2
bubbel,bubble,泡沫,NOUN,B2
byxa,trousers,裤子,NOUN,B2
bädda,to make a bed,铺床,VERB,B2
dykare,diver,潜水员,NOUN,B2
dylik,similar,类似的,ADJ,B2
eventuell,possible,可能的,ADJ,media-additions
flest,most,最多的,ADJ,B2
fläta,to braid,编辫子,VERB,B2
framkant,front edge,前沿,NOUN,B2
fröjd,joy,欢乐,NOUN,B2
gjuta,to cast,铸造,VERB,media-additions
glapp,gap,间隙,NOUN,media-additions
gräns,border,边界,NOUN,B2
hämnd,revenge,复仇,NOUN,B2
information,information,信息,NOUN,B2
isländsk,Icelandic,冰岛的,ADJ,B2
järn,iron,铁,NOUN,B2
kategori,category,类别,NOUN,B2
ketchup,ketchup,番茄酱,NOUN,B2
klack,heel,鞋跟,NOUN,B2
klurig,tricky,巧妙的,ADJ,media-additions
konstnärlig,artistic,艺术的,ADJ,B2
korg,basket,篮子,NOUN,B2
kortast,shortest,最短的,ADJ,B2
kreativ,creative,有创造力的,ADJ,B2
kreativitet,creativity,创造力,NOUN,B2
kräka,to vomit,呕吐,VERB,B2
krångla,to complicate,使复杂,VERB,B2
känslosam,sentimental,多愁善感的,ADJ,B2
laktos,lactose,乳糖,NOUN,B2
landsväg,country road,乡间公路,NOUN,B2
ljushårig,blonde,金发的,ADJ,B2
ljusår,light year,光年,NOUN,B2
lugg,bangs,刘海,NOUN,media-additions
längtan,longing,渴望,NOUN,B2
motivation,motivation,动力,NOUN,B2
märkt,marked,标记的,ADJ,B2
nätdejtingprofil,dating profile,交友资料,NOUN,B2
nånstans,somewhere,某处,ADV,B2
nånting,something,某事,PRON,B2
oförlåtlig,unforgivable,不可原谅的,ADJ,B2
oförutsebar,unpredictable,不可预测的,ADJ,B2
olik,different,不同,ADJ,media-additions
omskött,well-tended,照料周到的,ADJ,B2
osäkrad,unsecured,未固定的,ADJ,B2
passning,passing,传球,NOUN,B2
patrulltjänst,patrol duty,巡逻任务,NOUN,B2
person,person,人,NOUN,B2
pojkvän,boyfriend,男朋友,NOUN,B2
polisanmäld,reported to police,已报警的,ADJ,B2
potatismos,mashed potatoes,土豆泥,NOUN,B2
pott,pot,头奖,NOUN,media-additions
praktik,internship,实习,NOUN,media-additions
prispott,prize pot,奖池,NOUN,B2
provköra,to test drive,试驾,VERB,B2
provsköta,to test operate,试操作,VERB,B2
prövning,"test, trial",测试,NOUN,B2
pulsa,pulse,涌流,VERB,media-additions
påtänkt,intended,打算的,ADJ,B2
rask,"quick, swift",迅速的,ADJ,B2
redaktion,editorial office,编辑部,NOUN,B2
segelbåt,sailboat,帆船,NOUN,B2
simträning,swim training,游泳训练,NOUN,B2
självklar,obvious,不言而喻的,ADJ,B2
självmordstanke,suicidal thought,自杀念头,NOUN,B2
skamkänsla,sense of shame,羞耻感,NOUN,B2
skitstövel,bastard,混蛋,NOUN,B2
skottsäker,bulletproof,防弹的,ADJ,B2
skäggig,bearded,留胡子的,ADJ,B2
skäligen,reasonably,合理地,ADV,B2
skötsam,well-behaved,乖巧的,ADJ,B2
slutända,in the end,最终,ADV,B2
släpp,release,释放,NOUN,B2
slöjd,craft,手工,NOUN,media-additions
smärtfri,pain-free,无痛的,ADJ,B2
smärtlindring,pain relief,止痛,NOUN,B2
sträck,stretch,伸展,NOUN,B2
ständig,constant,持续的,ADJ,B2
tagen,"taken, exhausted",疲惫的,ADJ,B2
tänkare,thinker,思考者,NOUN,B2
tejpa,to tape,用胶带粘,VERB,B2
tempo,tempo,节奏,NOUN,media-additions
tidsangivelse,time indication,时间标注,NOUN,B2
tillföra,"to contribute, add",提供,VERB,B2
träningsredskap,exercise equipment,健身器材,NOUN,B2
tuff,tough,艰难的,ADJ,B2
törst,thirst,口渴,NOUN,B2
undermålig,substandard,不合格的,ADJ,B2
uppmuntra,to encourage,鼓励,VERB,B2
uppvärmning,warm-up,热身,NOUN,B2
utanpå,on the outside,在外面,ADP,B2
utlösande,triggering,触发的,ADJ,B2
vräka,to evict,驱逐,VERB,B2
vägbom,road barrier,路障,NOUN,B2
välta,to overturn,推翻,VERB,B2
värdesak,valuable,贵重物品,NOUN,B2
vårdhem,care home,护理院,NOUN,B2
yoghurt,yogurt,酸奶,NOUN,B2
äckla,to disgust,使厌恶,VERB,B2
åkomma,ailment,小毛病,NOUN,B2
återställd,restored,恢复的,ADJ,B2
återupprätta,to restore,恢复名誉,VERB,media-additions
ögonlock,eyelid,眼睑,NOUN,B2
övergiven,abandoned,被遗弃的,ADJ,B2
överhuvudtaget,at all,完全,ADV,B2
överlevd,survived,幸存的,ADJ,B2
överlägsen,superior,优越的,ADJ,B2
döma,to judge,评判,VERB,B2
obegriplig,incomprehensible,难以理解的,ADJ,B2
jämn,"even, level",平坦的,ADJ,B2
tag,tag,标签,NOUN,media-additions
hälft,half,一半,NOUN,B2
