csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
174,dom,verdict,判决,NOUN,sv,Advanced,1,keep,clean
220,efterlyst,wanted,被通缉的,ADJ,sv,Advanced,2,keep,clean
284,fluga,bow tie,领结,NOUN,sv,Advanced,3,keep,clean
293,fordon,vehicle,车辆,NOUN,sv,Advanced,4,keep,clean
465,gömställe,hiding place,藏身处,NOUN,sv,Advanced,5,keep,clean
485,heja,cheer,欢呼,VERB,sv,Advanced,6,keep,clean
530,hälsning,greeting,问候,NOUN,sv,Advanced,7,keep,clean
547,håla,hole,洞,NOUN,sv,Advanced,8,keep,clean
549,högkvarter,headquarters,总部,NOUN,sv,Advanced,9,keep,clean
613,isolera,isolate,隔离,VERB,sv,Advanced,10,keep,clean
735,konjak,cognac,干邑,NOUN,sv,Advanced,11,keep,clean
944,mobiltelefon,mobile phone,手机,NOUN,sv,Advanced,12,keep,clean
1047,objekt,object,"物体, 对象",NOUN,sv,Advanced,13,keep,clean
1080,osynlig,invisible,看不见的,ADJ,sv,Advanced,14,keep,clean
1081,otrevlig,unpleasant,不愉快的,ADJ,sv,Advanced,15,keep,clean
1155,psykologi,psychology,心理学,NOUN,sv,Advanced,16,keep,clean
1186,regelbundet,regularly,定期地,ADV,sv,Advanced,17,keep,clean
1314,skicklighet,skill,技能,NOUN,sv,Advanced,18,keep,clean
1350,slicka,lick,舔,VERB,sv,Advanced,19,keep,clean
1577,trosa,panties,内裤,NOUN,sv,Advanced,20,keep,clean
1586,tröst,comfort,安慰,NOUN,sv,Advanced,21,keep,clean
1784,vård,care,护理,NOUN,sv,Advanced,22,keep,clean
1804,ärr,scar,疤痕,NOUN,sv,Advanced,23,keep,clean
1854,översätta,translate,翻译,VERB,sv,Advanced,24,keep,clean
