English_Lemma,English_Lemma,Chinese_Lemma,POS
abandon,abandon,放弃,VERB
absence,absence,缺席,NOUN
absent,absent,缺席的,ADJ
absolute,absolute,绝对的,ADJ
absorb,absorb,吸收,VERB
abuse,abuse,滥用,NOUN
abuse,abuse,滥用,VERB
academic,academic,学术的,ADJ
acceptable,acceptable,可接受的,ADJ
accommodation,accommodation,住宿,NOUN
accompany,accompany,陪伴,VERB
accurate,accurate,准确的,ADJ
accuse,accuse,指控,VERB
achievement,achievement,成就,NOUN
active,active,活跃的,ADJ
adapt,adapt,适应,VERB
addicted,addicted,上瘾的,ADJ
addition,addition,增加,NOUN
address,address,解决,VERB
adjective,adjective,形容词,NOUN
adjust,adjust,调整,VERB
advertise,advertise,做广告,VERB
advertisement,advertisement,广告,NOUN
advertising,advertising,广告业,NOUN
advise,advise,建议,VERB
affordable,affordable,负担得起的,ADJ
afterwards,afterwards,后来,ADV
aggressive,aggressive,好斗的,ADJ
aid,aid,援助,NOUN
airplane,airplane,飞机,NOUN
alternative,alternative,替代方案,NOUN
ambitious,ambitious,有雄心的,ADJ
analysis,analysis,分析,NOUN
announcement,announcement,公告,NOUN
annoy,annoy,使恼怒,VERB
anxiety,anxiety,焦虑,NOUN
anxious,anxious,焦虑的,ADJ
application,application,申请,NOUN
appropriate,appropriate,适当的,ADJ
architect,architect,建筑师,NOUN
arrangement,arrangement,安排,NOUN
arrival,arrival,到达,NOUN
arrow,arrow,箭,NOUN
ash,ash,灰烬,NOUN
assignment,assignment,任务,NOUN
assistance,assistance,援助,NOUN
astronaut,astronaut,宇航员,NOUN
attraction,attraction,吸引力,NOUN
audio,audio,音频,NOUN
author,author,作者,NOUN
automatic,automatic,自动的,ADJ
awareness,awareness,意识,NOUN
backpack,backpack,背包,NOUN
backwards,backwards,向后,ADV
bacon,bacon,培根,NOUN
bake,bake,烘焙,VERB
balcony,balcony,阳台,NOUN
basis,basis,基础,NOUN
basket,basket,篮子,NOUN
basketball,basketball,篮球,NOUN
battery,battery,电池,NOUN
bear,bear,忍受,VERB
beard,beard,胡须,NOUN
beat,beat,节拍,NOUN
beautifully,beautifully,美丽地,ADV
bee,bee,蜜蜂,NOUN
bend,bend,弯曲,VERB
bin,bin,垃圾箱,NOUN
bitter,bitter,苦的,ADJ
block,block,阻塞,VERB
bounce,bounce,弹跳,VERB
boxing,boxing,拳击,NOUN
bubble,bubble,气泡,NOUN
bucket,bucket,桶,NOUN
burn,burn,烧伤,NOUN
bush,bush,灌木,NOUN
businessman,businessman,商人,NOUN
butterfly,butterfly,蝴蝶,NOUN
camping,camping,露营,NOUN
campus,campus,校园,NOUN
candle,candle,蜡烛,NOUN
cap,cap,帽子,NOUN
casual,casual,随意的,ADJ
ceiling,ceiling,天花板,NOUN
celebration,celebration,庆祝,NOUN
celebrity,celebrity,名人,NOUN
cent,cent,分,NOUN
championship,championship,锦标赛,NOUN
channel,channel,频道,NOUN
chapter,chapter,章节,NOUN
chart,chart,图表,NOUN
cheek,cheek,脸颊,NOUN
chemistry,chemistry,化学,NOUN
chew,chew,咀嚼,VERB
chin,chin,下巴,NOUN
chip,chip,碎片,NOUN
chop,chop,砍,VERB
circus,circus,马戏团,NOUN
citizen,citizen,公民,NOUN
click,click,点击,VERB
climate,climate,气候,NOUN
clip,clip,夹子,NOUN
clothing,clothing,服装,NOUN
clown,clown,小丑,NOUN
coal,coal,煤,NOUN
coin,coin,硬币,NOUN
collar,collar,衣领,NOUN
colleague,colleague,同事,NOUN
combination,combination,结合,NOUN
comedy,comedy,喜剧,NOUN
comic,comic,连环画,NOUN
comment,comment,评论,NOUN
communicate,communicate,交流,VERB
communication,communication,沟通,NOUN
compare,compare,比较,VERB
compete,compete,竞争,VERB
complain,complain,抱怨,VERB
complaint,complaint,投诉,NOUN
complete,complete,完成,VERB
concentrate,concentrate,集中,VERB
concept,concept,概念,NOUN
conclude,conclude,结束,VERB
conclusion,conclusion,结论,NOUN
congratulate,congratulate,祝贺,VERB
constant,constant,持续的,ADJ
constantly,constantly,不断地,ADV
consumer,consumer,消费者,NOUN
contact,contact,联系,VERB
contain,contain,包含,VERB
content,content,内容,NOUN
convenient,convenient,方便的,ADJ
cope,cope,应付,VERB
cotton,cotton,棉花,NOUN
cough,cough,咳嗽,NOUN
count,count,重要,VERB
counter,counter,柜台,NOUN
countryside,countryside,乡村,NOUN
cover,cover,覆盖,VERB
cozy,cozy,舒适的,ADJ
crab,crab,螃蟹,NOUN
crawl,crawl,爬行,VERB
creative,creative,有创造力的,ADJ
critical,critical,关键的,ADJ
crucial,crucial,至关重要的,ADJ
cultural,cultural,文化的,ADJ
cycle,cycle,循环,NOUN
dancer,dancer,舞者,NOUN
database,database,数据库,NOUN
deadline,deadline,截止日期,NOUN
deaf,deaf,聋的,ADJ
debate,debate,辩论,NOUN
decade,decade,十年,NOUN
define,define,定义,VERB
definition,definition,定义,NOUN
delay,delay,延迟,NOUN
delay,delay,延迟,VERB
depend,depend,依赖,VERB
depressed,depressed,沮丧的,ADJ
depth,depth,深度,NOUN
description,description,描述,NOUN
despite,despite,尽管,ADP
destination,destination,目的地,NOUN
detailed,detailed,详细的,ADJ
determine,determine,决定,VERB
development,development,发展,NOUN
dial,dial,拨号,VERB
dialogue,dialogue,对话,NOUN
diamond,diamond,钻石,NOUN
diary,diary,日记,NOUN
diet,diet,饮食,NOUN
difficulty,difficulty,困难,NOUN
digital,digital,数字的,ADJ
dinosaur,dinosaur,恐龙,NOUN
disagree,disagree,不同意,VERB
disappoint,disappoint,使失望,VERB
disappointing,disappointing,令人失望的,ADJ
disappointment,disappointment,失望,NOUN
discount,discount,折扣,NOUN
discovery,discovery,发现,NOUN
discussion,discussion,讨论,NOUN
display,display,展示,NOUN
district,district,地区,NOUN
dive,dive,潜水,VERB
divide,divide,分开,VERB
document,document,文件,NOUN
documentary,documentary,纪录片,NOUN
dot,dot,点,NOUN
drawer,drawer,抽屉,NOUN
drone,drone,无人机,NOUN
drum,drum,鼓,NOUN
earthquake,earthquake,地震,NOUN
economic,economic,经济的,ADJ
economy,economy,经济,NOUN
edition,edition,版本,NOUN
editor,editor,编辑,NOUN
effective,effective,有效的,ADJ
efficient,efficient,高效的,ADJ
elderly,elderly,年长的,ADJ
electric,electric,电动的,ADJ
electronic,electronic,电子的,ADJ
embarrass,embarrass,使尴尬,VERB
emotion,emotion,情感,NOUN
employee,employee,雇员,NOUN
encourage,encourage,鼓励,VERB
