lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,A1,1,359,own,own,自己的,ADJ,keep,clean
en,A1,2,43,away,away,离开,ADV,keep,clean
en,A1,3,263,kind,kind,种类,NOUN,keep,clean
en,A1,4,317,money,money,钱,NOUN,keep,clean
en,A1,5,464,state,state,国家,NOUN,keep,clean
en,A1,6,339,not,not,不,PART,keep,clean
en,A1,7,343,of,of,的,ADP,keep,clean
en,A1,8,32,any,any,任何,DET,keep,clean
en,A1,9,128,disappear,disappear,消失,VERB,keep,clean
en,A1,10,327,must,must,必须,AUX,keep,clean
en,A1,11,525,two,two,二,NUM,keep,clean
en,A1,12,281,line,line,线,NOUN,keep,clean
en,A1,13,230,hey,hey,嘿,INTJ,keep,clean
en,A1,14,579,year,year,年,NOUN,keep,clean
en,A1,15,362,party,party,聚会,NOUN,keep,clean
en,A1,16,143,either,either,或者,CCONJ,keep,clean
en,A1,17,251,if,if,如果,SCONJ,keep,clean
en,A1,18,556,who,who,谁,PRON,keep,clean
en,A1,19,392,read,read,阅读,VERB,keep,clean
en,A1,20,162,fall,fall,落下,VERB,keep,clean
en,A1,21,115,cut,cut,切,VERB,keep,clean
en,A1,22,417,security,security,安全,NOUN,keep,clean
en,A1,23,265,know,know,知道,VERB,keep,clean
en,A1,24,483,talk,talk,谈话,NOUN,keep,clean
