lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,A1,1,359,own,own,自己的,ADJ,keep,clean
en,A1,2,43,away,away,离开,ADV,keep,clean
en,A1,3,263,kind,kind,种类,NOUN,keep,clean
en,A1,4,317,money,money,钱,NOUN,keep,clean
en,A1,5,464,state,state,国家,NOUN,keep,clean
en,A1,6,339,not,not,不,PART,keep,clean
en,A1,7,343,of,of,的,ADP,keep,clean
en,A1,8,32,any,any,任何,DET,keep,clean
en,A1,9,128,disappear,disappear,消失,VERB,keep,clean
en,A1,10,327,must,must,必须,AUX,keep,clean
en,A1,11,525,two,two,二,NUM,keep,clean
en,A1,12,281,line,line,线,NOUN,keep,clean
en,A1,13,230,hey,hey,嘿,INTJ,keep,clean
en,A1,14,579,year,year,年,NOUN,keep,clean
en,A1,15,362,party,party,聚会,NOUN,keep,clean
en,A1,16,143,either,either,或者,CCONJ,keep,clean
en,A1,17,251,if,if,如果,SCONJ,keep,clean
en,A1,18,556,who,who,谁,PRON,keep,clean
en,A1,19,392,read,read,阅读,VERB,keep,clean
en,A1,20,162,fall,fall,落下,VERB,keep,clean
en,A1,21,115,cut,cut,切,VERB,keep,clean
en,A1,22,417,security,security,安全,NOUN,keep,clean
en,A1,23,265,know,know,知道,VERB,keep,clean
en,A1,24,483,talk,talk,谈话,NOUN,keep,clean
en,A2,1,13,agent,agent,代理人,NOUN,keep,clean
en,A2,2,435,recently,recently,最近,ADV,keep,clean
en,A2,3,340,member,member,成员,NOUN,keep,clean
en,A2,4,15,among,among,在……之中,ADP,keep,clean
en,A2,5,168,dramatic,dramatic,戏剧性的,ADJ,keep,clean
en,A2,6,188,enemy,enemy,敌人,NOUN,keep,clean
en,A2,7,61,board,board,板,NOUN,keep,clean
en,A2,8,499,station,station,车站,NOUN,keep,clean
en,A2,9,233,form,form,形式,NOUN,keep,clean
en,A2,10,102,cheers,cheers,干杯,INTJ,keep,clean
en,A2,11,12,afternoon,afternoon,下午,NOUN,keep,clean
en,A2,12,564,whether,whether,是否,SCONJ,keep,clean
en,A2,13,443,responsibility,responsibility,责任,NOUN,keep,clean
en,A2,14,361,none,none,没有一个,PRON,keep,clean
en,A2,15,250,group,group,组,NOUN,keep,clean
en,A2,16,75,buddy,buddy,伙伴,NOUN,keep,clean
en,A2,17,302,justice,justice,正义,NOUN,keep,clean
en,A2,18,557,wall,wall,墙,NOUN,keep,clean
en,A2,19,325,loud,loud,大声的,ADJ,keep,clean
en,A2,20,528,thought,thought,想法,NOUN,keep,clean
en,A2,21,461,season,season,季节,NOUN,keep,clean
en,A2,22,275,hundred,hundred,百,NUM,keep,clean
en,A2,23,357,neither,neither,两者都不,DET,keep,clean
en,A2,24,104,choose,choose,选择,VERB,keep,clean
en,B1,1,871,traffic,traffic,交通,NOUN,keep,clean
en,B1,2,553,officially,officially,正式地,ADV,keep,clean
en,B1,3,417,hug,hug,拥抱,NOUN,keep,clean
en,B1,4,81,billion,billion,十亿,NUM,keep,clean
en,B1,5,315,explosion,explosion,爆炸,NOUN,keep,clean
en,B1,6,534,neighbor,neighbor,邻居,NOUN,keep,clean
en,B1,7,106,bullet,bullet,子弹,NOUN,keep,clean
en,B1,8,945,zone,zone,区域,NOUN,keep,clean
en,B1,9,855,tie,tie,领带,NOUN,keep,clean
en,B1,10,302,exact,exact,精确的,ADJ,keep,clean
en,B1,11,79,below,below,在...下面,ADP,keep,clean
en,B1,12,20,although,although,虽然,SCONJ,keep,clean
en,B1,13,165,clue,clue,线索,NOUN,keep,clean
en,B1,14,731,ship,ship,船,NOUN,keep,clean
en,B1,15,454,joy,joy,喜悦,NOUN,keep,clean
en,B1,16,430,incident,incident,事件,NOUN,keep,clean
en,B1,17,833,teaching,teaching,教学,NOUN,keep,clean
en,B1,18,205,crack,crack,裂缝,NOUN,keep,clean
en,B1,19,436,insist,insist,坚持,VERB,keep,clean
en,B1,20,457,jury,jury,陪审团,NOUN,keep,clean
en,B1,21,817,surveillance,surveillance,监视,NOUN,keep,clean
en,B1,22,555,online,online,在线的,ADJ,keep,clean
en,B1,23,629,procedure,procedure,程序,NOUN,keep,clean
en,B1,24,529,nasty,nasty,令人不快的,ADJ,keep,clean
en,B2,1,457,commission,commission,委员会,NOUN,keep,clean
en,B2,2,91,actuate,actuate,驱动,VERB,keep,clean
en,B2,3,495,constantly,constantly,不断地,ADV,keep,clean
en,B2,4,293,billion,billion,十亿,NUM,keep,clean
en,B2,5,1001,inquiry,inquiry,调查,NOUN,keep,clean
en,B2,6,1068,lawn,lawn,草坪,NOUN,keep,clean
en,B2,7,1861,whisper,whisper,低语,VERB,keep,clean
en,B2,8,1698,sweep,sweep,打扫,VERB,keep,clean
en,B2,9,1522,scatter,scatter,分散,VERB,keep,clean
en,B2,10,1085,lemon,lemon,柠檬,NOUN,keep,clean
en,B2,11,898,greedy,greedy,贪婪的,ADJ,keep,clean
en,B2,12,760,expertise,expertise,专业知识,NOUN,keep,clean
en,B2,13,1657,strain,strain,压力,NOUN,keep,clean
en,B2,14,1672,subway,subway,地铁,NOUN,keep,clean
en,B2,15,809,fleet,fleet,舰队,NOUN,keep,clean
en,B2,16,1858,whatsoever,whatsoever,任何,DET,keep,clean
en,B2,17,1654,stone,stone,石头,NOUN,keep,clean
en,B2,18,512,coordinate,coordinate,坐标,NOUN,keep,clean
en,B2,19,1457,republic,republic,共和国,NOUN,keep,clean
en,B2,20,357,bush,bush,灌木,NOUN,keep,clean
en,B2,21,288,beneath,beneath,在……下面,ADP,keep,clean
en,B2,22,451,combat,combat,战斗,NOUN,keep,clean
en,B2,23,1243,parade,parade,游行,NOUN,keep,clean
en,B2,24,1696,swap,swap,交换,VERB,keep,clean
en,C1,1,2911,recipient,recipient,接受者,NOUN,keep,clean
en,C1,2,1565,esteem,esteem,尊重,NOUN,keep,clean
en,C1,3,3219,shun,shun,避开,VERB,keep,clean
en,C1,4,666,chore,chore,家务,NOUN,keep,clean
en,C1,5,974,decamp,decamp,突然离开,VERB,keep,clean
en,C1,6,3450,surmise,surmise,推测,VERB,keep,clean
en,C1,7,3866,wanton,wanton,肆意的,ADJ,keep,clean
en,C1,8,506,brakeman,brakeman,刹车员,NOUN,keep,clean
en,C1,9,177,arid,arid,干旱的,ADJ,keep,clean
en,C1,10,235,astride,astride,跨坐,ADP,keep,clean
en,C1,11,1294,distend,distend,膨胀,VERB,keep,clean
en,C1,12,3171,seemly,seemly,得体的,ADJ,keep,clean
en,C1,13,3552,thereafter,thereafter,此后,ADV,keep,clean
en,C1,14,540,bruise,bruise,瘀伤,NOUN,keep,clean
en,C1,15,1521,entrap,entrap,诱捕,VERB,keep,clean
en,C1,16,1813,fossil,fossil,化石,NOUN,keep,clean
en,C1,17,286,autocracy,autocracy,专制,NOUN,keep,clean
en,C1,18,1572,ethics,ethics,伦理学,NOUN,keep,clean
en,C1,19,3886,whereas,whereas,然而,SCONJ,keep,clean
en,C1,20,270,augur,augur,预言,VERB,keep,clean
en,C1,21,697,clinch,clinch,敲定,VERB,keep,clean
en,C1,22,1450,enamor,enamor,使迷恋,VERB,keep,clean
en,C1,23,60,amuse,amuse,逗乐,VERB,keep,clean
en,C1,24,1715,fiancé,fiancé,未婚夫,NOUN,keep,clean
