csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
141,apportion,apportion,分配,VERB,en,Advanced,1,keep,clean
218,assimilation,assimilation,同化,NOUN,en,Advanced,2,keep,clean
494,braid,braid,辫子,NOUN,en,Advanced,3,keep,clean
561,burgle,burgle,入室行窃,VERB,en,Advanced,4,keep,clean
706,coarse,coarse,粗糙的,ADJ,en,Advanced,5,keep,clean
799,console,console,安慰,VERB,en,Advanced,6,keep,clean
891,crisp,crisp,酥脆的,ADJ,en,Advanced,7,keep,clean
1107,destine,destine,注定,VERB,en,Advanced,8,keep,clean
1372,effervesce,effervesce,起泡,VERB,en,Advanced,9,keep,clean
1486,enrage,enrage,激怒,VERB,en,Advanced,10,keep,clean
1685,federalize,federalize,使联邦化,VERB,en,Advanced,11,keep,clean
2077,incentive,incentive,激励,NOUN,en,Advanced,12,keep,clean
2208,laborious,laborious,费力的,ADJ,en,Advanced,13,keep,clean
2413,negotiation,negotiation,谈判；协商,NOUN,en,Advanced,14,keep,clean
2427,nominal,nominal,名义上的,ADJ,en,Advanced,15,keep,clean
2621,persecution,persecution,迫害,NOUN,en,Advanced,16,keep,clean
2684,ponderous,ponderous,笨重的,ADJ,en,Advanced,17,keep,clean
2764,prohibitive,prohibitive,昂贵的,ADJ,en,Advanced,18,keep,clean
2956,reparation,reparation,赔偿,NOUN,en,Advanced,19,keep,clean
2971,reprieve,reprieve,暂缓执行,NOUN,en,Advanced,20,keep,clean
3266,sparkle,sparkle,闪耀,VERB,en,Advanced,21,keep,clean
3414,surmise,surmise,推测,VERB,en,Advanced,22,keep,clean
3615,turgid,turgid,浮肿的,ADJ,en,Advanced,23,keep,clean
3646,undisturbed,undisturbed,未受打扰的,ADJ,en,Advanced,24,keep,clean
