action,lang,level,lemma,english_lemma,chinese_lemma,upos,kept_level,kept_english,kept_chinese,conflict
removed,en,B2,act,act,行为,NOUN,A1,act,行动,yes
removed,en,B2,business,business,企业,NOUN,A1,business,商业,yes
removed,en,B2,buy,buy,购买,VERB,A1,buy,买,yes
removed,en,A2,care,care,关心,VERB,A1,care,照顾,yes
removed,en,A2,die,die,死,VERB,A1,die,死亡,yes
removed,en,A2,dream,dream,梦,NOUN,A1,dream,梦想,yes
removed,en,B1,find,find,发现,VERB,A1,find,找到,yes
removed,en,B1,hold,hold,持有,VERB,A1,hold,拿着,yes
removed,en,A2,idea,idea,想法,NOUN,A1,idea,主意,yes
removed,en,B2,lose,lose,失去,VERB,A1,lose,丢失,yes
removed,en,B2,old,old,老的,ADJ,A1,old,旧的,yes
removed,en,B1,reason,reason,原因,NOUN,A1,reason,理由,yes
removed,en,B1,talk,talk,会谈,NOUN,A1,talk,谈话,yes
removed,en,B1,wonder,wonder,想知道,VERB,A1,wonder,觉得奇怪,yes
removed,en,B2,buddy,buddy,朋友,NOUN,A2,buddy,伙伴,yes
removed,en,B2,character,character,角色,NOUN,A2,character,性格,yes
removed,en,B2,connection,connection,联系,NOUN,A2,connection,连接,yes
removed,en,B2,contact,contact,联系人,NOUN,A2,contact,联系,yes
removed,en,B1,cry,cry,哭泣,VERB,A2,cry,哭,yes
removed,en,B2,cry,cry,哭喊,VERB,A2,cry,哭,yes
removed,en,B2,duty,duty,职责,NOUN,A2,duty,责任,yes
removed,en,B1,fan,fan,迷,NOUN,A2,fan,粉丝,yes
removed,en,B2,field,field,领域,NOUN,A2,field,田野,yes
removed,en,B1,guard,guard,警卫,NOUN,A2,guard,守卫,yes
removed,en,B2,hotel,hotel,旅馆,NOUN,A2,hotel,酒店,yes
removed,en,B1,mention,mention,提到,VERB,A2,mention,提及,yes
removed,en,B1,raise,raise,提高,VERB,A2,raise,举起,yes
removed,en,B2,visit,visit,访问,VERB,A2,visit,参观,yes
removed,en,C1,appointment,appointment,任命,NOUN,B1,appointment,预约,yes
removed,en,B2,assure,assure,确保,VERB,B1,assure,保证,yes
removed,en,B2,bleed,bleed,流血,VERB,B1,bleed,出血,yes
removed,en,C1,bleed,bleed,流血,VERB,B1,bleed,出血,yes
removed,en,B2,cow,cow,牛,NOUN,B1,cow,奶牛,yes
removed,en,B2,demand,demand,要求,NOUN,B1,demand,需求,yes
removed,en,B2,device,device,设备,NOUN,B1,device,装置,yes
removed,en,B2,freeze,freeze,冻结,VERB,B1,freeze,结冰,yes
removed,en,C1,injure,injure,伤害,VERB,B1,injure,使受伤,yes
removed,en,B2,shine,shine,发光,VERB,B1,shine,照耀,yes
removed,en,C1,annoy,annoy,使烦恼,VERB,B2,annoy,使恼怒,yes
removed,en,C1,attach,attach,附上,VERB,B2,attach,附加,yes
