Arabic_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
بغى,want,想要,VERB,A1
خدمة,service,服务,NOUN,A2
باش,so that,为了,SCONJ,A2
هادي,this,这个,PRON,A1
صافي,clear,清楚,ADJ,A2
غادي,going,将要,AUX,A2
سير,walk,走,VERB,A2
أدار,manage,管理,VERB,B1
شوي,little,一点,ADV,A1
كون,universe,宇宙,NOUN,B1
شاف,to see,看见,VERB,A1
أنة,groan,呻吟,NOUN,C1
معى,intestine,肠,NOUN,C1
سليم,sound,健全,ADJ,B1
خلي,let,让,VERB,A1
عارف,knowing,知道,ADJ,A2
غلط,mistake,错误,NOUN,A2
تبع,follow,跟随,VERB,A2
خدام,servant,仆人,NOUN,B1
غدي,tomorrow,明天,ADV,A1
بتول,virgin,处女,NOUN,C1
أمة,nation,民族,NOUN,B1
وشى,betray,告密,VERB,C1
راجل,man,男人,NOUN,A1
مأمأ,bleat,咩咩叫,VERB,C1
عاف,to forgive,原谅,VERB,B1
مأن,provision,补给,VERB,C1
هين,easy,容易,ADJ,B2
أخوي,fraternal,兄弟的,ADJ,B2
باغي,wanting,想要,ADJ,A2
تورى,hide,躲藏,VERB,B2
سلامة,safety,安全,NOUN,A2
بغي,oppression,压迫,NOUN,C1
بنى,build,建造,VERB,A2
شوه,distort,扭曲,VERB,B2
لوى,twist,扭曲,VERB,B2
ذاك,that,那个,PRON,A1
نية,intention,意图,NOUN,B1
ماشي,walking,步行,ADJ,A2
هادر,talking,说话,ADJ,B1
مادي,material,物质的,ADJ,B1
قنقر,strut,昂首阔步,VERB,C1
وكى,fasten,系紧,VERB,C1
يالله,come on,快点,INTJ,A1
بارح,yesterday,昨天,ADV,A2
عاون,help,帮助,VERB,A2
استهل,begin,开始,VERB,B2
تاكسي,taxi,出租车,NOUN,A1
تآسى,console,慰藉,VERB,C1
دري,boy,男孩,NOUN,A2
بلك,perch,栖息,NOUN,C1
لقي,find,找到,VERB,A2
إنش,inch,英寸,NOUN,B2
زين,beauty,美丽,NOUN,A2
شوف,look,看,VERB,A1
عاج,ivory,象牙,NOUN,B2
اسمي,nominal,名义的,ADJ,B2
هان,demean,贬低,VERB,B2
أودى,perish,丧命,VERB,B2
تلفون,telephone,电话,NOUN,A1
أبان,demonstrate,显露,VERB,B2
اسم,name,名字,NOUN,A1
عاب,criticize,挑剔,VERB,B2
زيد,increase,增加,VERB,A2
اشترك,participate,参与,VERB,B1
دوى,resound,回响,VERB,B2
حلا,sweeten,变甜,VERB,B2
مسمن,fattened,育肥的,ADJ,B2
ملي,when,当时,SCONJ,A2
مأتى,origin,来源,NOUN,C1
برأ,acquit,宣告无罪,VERB,B2
هدى,guide,引导,VERB,B1
نتر,snatch,抢夺,VERB,C1
عائش,living,活着的,ADJ,B1
تين,fig,无花果,NOUN,B1
عمى,blindness,失明,NOUN,B2
كنة,daughter-in-law,儿媳,NOUN,B2
جاب,bring,带来,VERB,A1
محال,impossible,不可能,ADJ,B1
زوق,decorate,装饰,VERB,B2
سمي,namesake,同名者,NOUN,B2
زيان,beautify,美化,VERB,B2
ملد,supple,柔软,ADJ,C1
سباح,swimmer,游泳者,NOUN,A2
قادر,capable,有能力的,ADJ,B1
فاش,when,当...时,SCONJ,A2
أدر,yield,产出,VERB,C1
معروض,displayed,展出,ADJ,B1
حدا,beside,在旁边,ADP,A2
راسي,steady,稳固的,ADJ,B2
داوى,treat,治疗,VERB,B1
جاني,perpetrator,罪犯,NOUN,B2
غمار,depth,深处,NOUN,C1
هنو,ease,安适,NOUN,C1
شتى,diverse,各种各样,ADJ,B2
كال,eat,吃,VERB,A1
وهي,frail,虚弱,ADJ,C1
ساك,drive,驾驶,VERB,A2
وخى,alright,好的,INTJ,A1
نجي,confidant,密友,NOUN,C1
ابن,son,儿子,NOUN,A1
بلي,that,那个,SCONJ,A2
حسي,sensory,感官的,ADJ,B2
رعا,care,照顾,VERB,B1
طاب,ripen,成熟,VERB,B1
أوصل,deliver,送达,VERB,B1
غدار,treacherous,奸诈的,ADJ,B2
عدي,pass,通过,VERB,B1
مقلق,worried,担心的,ADJ,A2
حنأ,henna,染指甲,VERB,C1
حمأ,sludge,污泥,NOUN,C1
قلس,vomit,呕吐,VERB,C1
مكون,component,成分,NOUN,B2
عون,aid,帮助,NOUN,B1
غاش,cheat,欺骗,VERB,B2
سين,seen,字母Seen,NOUN,B2
قدام,in front of,在前面,ADP,A2
خلاق,creative,有创造力的,ADJ,B2
عاني,suffer,遭受,VERB,B1
قفى,back of the head,后脑勺,NOUN,B2
تشوف,to see each other,相见,VERB,A2
ارتاح,rest,休息,VERB,A2
نوط,medal,勋章,NOUN,C1
تبقى,remain,保持,VERB,B1
سلي,console,安慰,VERB,C1
شكو,complaint,抱怨,NOUN,B2
مشكل,problem,问题,NOUN,A2
عايش,living,活着,ADJ,A2
مضر,harmful,有害的,ADJ,B1
هنة,trifle,小事,NOUN,C1
استأهل,deserve,值得,VERB,B1
لبلاب,ivy,常春藤,NOUN,C1
معنوي,moral,精神的,ADJ,B2
احترم,respect,尊重,VERB,B1
انتاب,overtake,侵袭,VERB,B2
اعترى,befall,降临,VERB,C1
استغل,exploit,利用,VERB,B1
شاكلة,manner,方式,NOUN,C1
انتوى,intend,打算,VERB,B2
قدامى,veteran,老兵,NOUN,B2
بوليس,police,警察,NOUN,A1
تكملة,completion,补充,NOUN,B2
مجموع,total,总计,NOUN,A2
سعاية,begging,乞讨,NOUN,C1
انتمى,belong,属于,VERB,B1
حناية,henna artist,彩绘师,NOUN,B2
أمبير,ampere,安培,NOUN,B2
عشيرة,clan,部落,NOUN,B2
ترابة,dirt,尘土,NOUN,B2
اتساع,expansion,扩展,NOUN,B2
محلول,solution,溶液,NOUN,B2
امتحن,test,考试,VERB,A2
ديمة,drizzle,细雨,NOUN,C1
تفطر,to have breakfast,吃早餐,VERB,A1
وزين,weighty,稳重,ADJ,C1
غيتو,ghetto,犹太区,NOUN,B2
تخرب,ruin,毁坏,VERB,B2
ربوة,hill,小山,NOUN,B2
مدية,knife,小刀,NOUN,B2
بارك,bless,祝福,VERB,B1
مطار,airport,机场,NOUN,A1
ساري,valid,有效的,ADJ,B2
تعمق,deepen,加深,VERB,B2
أنود,anode,阳极,NOUN,B2
طرار,pickpocket,扒手,NOUN,C1
بغتي,sudden,突然的,ADJ,C1
كومة,pile,一堆,NOUN,B1
ديان,judge,审判者,NOUN,C1
أضرب,strike,罢工,VERB,B1
خدمي,service,服务的,ADJ,B2
راكب,passenger,乘客,NOUN,A2
أبلى,excel,表现,VERB,B2
نزال,duel,决斗,NOUN,B2
طلعة,appearance,容貌,NOUN,B2
تفرق,to separate,分开,VERB,A2
أوهى,weaken,削弱,VERB,C1
مزين,pretty,漂亮的,ADJ,A2
أخلى,evacuate,疏散,VERB,B1
تجوى,grieve,悲伤,VERB,C1
طايب,cooked,熟的,ADJ,A2
منية,death,命运,NOUN,C1
أفين,where,在哪里,ADV,A1
تافه,trivial,琐碎的,ADJ,B1
ممسى,evening,傍晚,NOUN,C1
شوري,consultative,协商的,ADJ,B2
شعلة,torch,火炬,NOUN,B1
ساعر,blazing,燃烧的,ADJ,C1
مغيب,sunset,日落,NOUN,B1
أكيل,glutton,大食者,NOUN,C1
تسأل,ask,询问,VERB,A2
حفاظ,diaper,尿布,NOUN,A2
أرفة,disgust,恶心,NOUN,B2
عاقل,sensible,理智的,ADJ,B1
إبان,during,期间,ADP,B2
أنين,moan,呻吟,NOUN,B2
قارع,knock,敲击,VERB,B2
موجه,instructor,指导者,NOUN,B2
أزلي,eternal,永恒的,ADJ,B2
قدير,capable,能干的,ADJ,B1
طوار,sidewalk,人行道,NOUN,B1
عيان,tired,疲劳的,ADJ,A2
غداف,raven,乌鸦,NOUN,C1
مقلد,imitator,模仿者,NOUN,B2
قاعد,sitting,坐着,ADJ,A2
ملقى,venue,聚集地,NOUN,B2
أخدر,numb,麻木,VERB,B2
باقي,remaining,剩余的,ADJ,A2
أفوكا,lawyer,律师,NOUN,A2
