Swedish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
-t,-ly,地,PART,B2
lite,a bit,一点,ADV,B2
liten,a little,一点,ADJ,B2
gift par,a married couple,夫妇,NOUN,B2
par,a pair,一对,NUM,B2
hög,a pile,一堆,NUM,B2
brunn,a well,井,NOUN,B2
stund,a while,一会儿,NOUN,B2
avsky,to abhor,憎恶,VERB,B2
förmågen,able,能够的,ADJ,B2
avskaffa,to abolish,废除,VERB,B2
erosion,abrasion,擦伤,NOUN,B2
utlandet,abroad,国外,NOUN,B2
plötslig,abrupt,突然的,ADJ,B2
fly,to abscond,潜逃,VERB,B2
bortavänt,absent-mindedness,心不在焉,NOUN,B2
absolut,absolute,绝对的,ADJ,B2
absorbera,to absorb,吸收,VERB,B2
avstå,to abstain,克制,VERB,B2
abstraktion,abstraction,抽象,NOUN,B2
obegriplig,abstruse,深奥的,ADJ,B2
överflödande,abundant,丰富的,ADJ,B2
missbruka,abuse,滥用,NOUN,B2
missbruka,to abuse,滥用,VERB,B2
avgrund,abyss,深渊,NOUN,B2
acceptans,acceptance,接受,NOUN,B2
tillfällig,accidental,偶然的,ADJ,B2
tillfälligt,accidentally,意外地,ADV,B2
hysa,to accommodate,容纳,VERB,B2
boende,accommodation,住宿,NOUN,B2
åtfölja,to accompany,陪伴,VERB,B2
överensstämmelse,accord with,合乎,NOUN,B2
ansvarsskyldighet,accountability,问责制,NOUN,B2
revisor,accountant,会计师,NOUN,B2
redovisning,accounting,会计,NOUN,B2
ackreditera,to accredit,认可,VERB,B2
ackrediterad,accredited,认可的,ADJ,B2
tillfalla,to accrue,积累,VERB,B2
ackumulera,to accumulate,积累,VERB,B2
ackumulation,accumulation,积累,NOUN,B2
korrekt,accurate,准确的,ADJ,B2
syra,acid,酸,NOUN,B2
surhet,acidity,酸度,NOUN,B2
akustik,acoustics,声学,NOUN,B2
förvärv,acquisition,获得,NOUN,B2
frikänna,to acquit,宣告无罪,VERB,B2
bitterhet,acrimony,尖刻,NOUN,B2
akrobat,acrobat,杂技演员,NOUN,B2
över,across,穿过,ADP,B2
samverkan,act jointly,合伙,NOUN,B2
handling,action,行动,NOUN,B2
beroende,addicted,上瘾的,ADJ,B2
beroende,addiction,上瘾,NOUN,B2
tillägg,addition,增加,NOUN,B2
ytterligare,additional,额外的,ADJ,B2
tillräcklig,adequate,足够的,ADJ,B2
närhet,adjacency,邻接,NOUN,B2
angränsande,adjacent,邻近的,ADJ,B2
justera,to adjust,调整,VERB,B2
administrativ,administrative,行政的,ADJ,B2
visserligen,admittedly,诚然,ADV,B2
förmana,to admonish,告诫,VERB,B2
aggressivitet,aggressiveness,攻击性,NOUN,B2
agil,agile,敏捷的,ADJ,B2
agilitet,agility,敏捷,NOUN,B2
ångest,agony,极度痛苦,NOUN,B2
jordbruks,agricultural,农业的,ADJ,B2
jordbruk,agriculture,农业,NOUN,B2
åh,ah,啊,INTJ,B2
mål,aim,目标,NOUN,B2
luftkonditionering,air conditioning,空调,NOUN,B2
luftförsvar,air defense,防空,NOUN,B2
alarmklocka,alarm clock,闹钟,NOUN,B2
alarmant,alarming,令人担忧的,ADJ,B2
ack,alas,唉,INTJ,B2
larm,alert,警报,NOUN,B2
algoritm,algorithm,算法,NOUN,B2
främmandegörande,alienation,异化,NOUN,B2
justering,alignment,结盟,NOUN,B2
underhåll,alimony,赡养费,NOUN,B2
levande,alive,活着的,ADJ,B2
allt,all,全部,ADV,B2
hela dagen,all day long,一整天,NOUN,B2
påstådd,alleged,所谓的,ADJ,B2
påstås,allegedly,据称,ADV,B2
allergi,allergy,过敏,NOUN,B2
dold läge,allow hiding,许躲,NOUN,B2
bidrag,allowance,津贴,NOUN,B2
legering,alloy,合金,NOUN,B2
analytiker,analyst,分析师,NOUN,B2
anarki,anarchy,无政府状态,NOUN,B2
förfader,ancestor,祖先,NOUN,B2
ankra,anchor,锚,NOUN,B2
ankra,to anchor,抛锚,VERB,B2
antik,ancient,古老的,ADJ,B2
forntiden,ancient times,古代,NOUN,B2
och,and,重而,NOUN,B2
och så vidare,and so forth,依此类推,ADV,B2
och så vidare,and so on,之类,NOUN,B2
anekdot,anecdote,轶事,NOUN,B2
anestesi,anesthesia,麻醉,NOUN,B2
bedövningsmedel,anesthetic,麻醉剂,NOUN,B2
ångest,anguish,痛苦,NOUN,B2
animerad film,animated film,动画片,NOUN,B2
fiendskap,animosity,敌意,NOUN,B2
vrist,ankle,脚踝,NOUN,B2
annexera,annex,附件,NOUN,B2
annexera,to annex,兼并,VERB,B2
förintelse,annihilation,寂灭,NOUN,B2
årsdag,anniversary,周年纪念,NOUN,B2
annotera,to annotate,注释,VERB,B2
kungörelse,announcement,公告,NOUN,B2
irritera,to annoy,使恼怒,VERB,B2
irritation,annoyance,烦恼,NOUN,B2
årsredovisning,annual report,年报,NOUN,B2
årligen,annually,每年,ADV,B2
anomi,anomaly,异常,NOUN,B2
besvara,to answer reply,回答,VERB,B2
svarmaskin,answering machine,邮箱,NOUN,B2
antenn,antenna,天线,NOUN,B2
antologi,anthology,选集,NOUN,B2
antropologi,anthropology,人类学,NOUN,B2
antropomorfism,anthropomorphism,拟人化,NOUN,B2
antiabstraktion,anti-abstraction,反抽,NOUN,B2
antiaktion,anti-action,反作,NOUN,B2
antigeneralitet,anti-generality,反般,NOUN,B2
antiintegration,anti-integration,反合,NOUN,B2
antimått,anti-measure,反度,NOUN,B2
antiomnipresens,anti-omnipresence,反遍,NOUN,B2
antikrig,anti-war,反战,NOUN,B2
antikropp,antibody,抗体,NOUN,B2
förvänta,to anticipate,预期,VERB,B2
förväntan,anticipation,预期,NOUN,B2
antik,antique,古老的,ADJ,B2
antiseptikum,antiseptic,防腐剂,NOUN,B2
antites,antithesis,对立面,NOUN,B2
orolig,anxious,焦虑的,ADJ,B2
någon,any,任何,DET,B2
någon,anyone,任何人,PRON,B2
apokryf,apocryphal,杜撰的,ADJ,B2
beklama,to apologize,道歉,VERB,B2
ursäkt,apology,道歉,NOUN,B2
avfall,apostasy,叛教,NOUN,B2
beropa,to appeal,呼吁,VERB,B2
freda,to appease,安抚,VERB,B2
applaudera,to applaud,鼓掌,VERB,B2
tillämplighet,applicability,适用性,NOUN,B2
sökande,applicant,申请人,NOUN,B2
gipsa,to apply a cast,打石膏,VERB,B2
sminka,to apply makeup,化妆,VERB,B2
anställning,appointment,预约,NOUN,B2
bedöma,to appraise,评估,VERB,B2
tackfest,appreciation banquet,答谢宴,NOUN,B2
gripa,to apprehend,逮捕,VERB,B2
gripande,apprehension,忧虑,NOUN,B2
lärling,apprentice,学徒,NOUN,B2
