lang,level,lemma,english_lemma,chinese_lemma,upos,action,reason
ar,*,إيوا,,,,drop,classifier closed dialect/loan token set
ar,*,اتغدى,,,,drop,classifier closed dialect/loan token set
ar,*,اتفضل,,,,drop,classifier closed dialect/loan token set
ar,*,اتفضلي,,,,drop,classifier closed dialect/loan token set
ar,*,اتوبيس,,,,drop,classifier closed dialect/loan token set
ar,*,اش,,,,drop,classifier closed dialect/loan token set
ar,*,اشنو,,,,drop,classifier closed dialect/loan token set
ar,*,اوكي,,,,drop,classifier closed dialect/loan token set
ar,*,ايوا,,,,drop,classifier closed dialect/loan token set
ar,*,بارطما,,,,drop,classifier closed dialect/loan token set
ar,*,باسبور,,,,drop,classifier closed dialect/loan token set
ar,*,باش,,,,drop,classifier closed dialect/loan token set
ar,*,بانيو,,,,drop,classifier closed dialect/loan token set
ar,*,برطما,,,,drop,classifier closed dialect/loan token set
ar,*,بروفيل,,,,drop,classifier closed dialect/loan token set
ar,*,بزاف,,,,drop,classifier closed dialect/loan token set
ar,*,بشوية,,,,drop,classifier closed dialect/loan token set
ar,*,بصح,,,,drop,classifier closed dialect/loan token set
ar,*,بغيت,,,,drop,classifier closed dialect/loan token set
ar,*,بلاتي,,,,drop,classifier closed dialect/loan token set
ar,*,بنة,,,,drop,classifier closed dialect/loan token set
ar,*,بوليس,,,,drop,classifier closed dialect/loan token set
ar,*,بوليسية,,,,drop,classifier closed dialect/loan token set
ar,*,بيسة,,,,drop,classifier closed dialect/loan token set
ar,*,تابلة,,,,drop,classifier closed dialect/loan token set
ar,*,تحتاني,,,,drop,classifier closed dialect/loan token set
ar,*,تداريب,,,,drop,classifier closed dialect/loan token set
ar,*,تران,,,,drop,classifier closed dialect/loan token set
ar,*,تسعطاش,,,,drop,classifier closed dialect/loan token set
ar,*,تسعود,,,,drop,classifier closed dialect/loan token set
ar,*,تغدى,,,,drop,classifier closed dialect/loan token set
ar,*,تغديت,,,,drop,classifier closed dialect/loan token set
ar,*,تلاتة,,,,drop,classifier closed dialect/loan token set
ar,*,تلاته,,,,drop,classifier closed dialect/loan token set
ar,*,تلاتين,,,,drop,classifier closed dialect/loan token set
ar,*,تلتاش,,,,drop,classifier closed dialect/loan token set
ar,*,تليفون,,,,drop,classifier closed dialect/loan token set
ar,*,تمنتاش,,,,drop,classifier closed dialect/loan token set
ar,*,تمنية,,,,drop,classifier closed dialect/loan token set
ar,*,توحش,,,,drop,classifier closed dialect/loan token set
ar,*,تيليفون,,,,drop,classifier closed dialect/loan token set
ar,*,جاب,,,,drop,classifier closed dialect/loan token set
ar,*,جابو,,,,drop,classifier closed dialect/loan token set
ar,*,جوج,,,,drop,classifier closed dialect/loan token set
ar,*,جيبي,,,,drop,classifier closed dialect/loan token set
ar,*,جيعان,,,,drop,classifier closed dialect/loan token set
ar,*,جيعانة,,,,drop,classifier closed dialect/loan token set
ar,*,حداش,,,,drop,classifier closed dialect/loan token set
ar,*,حيت,,,,drop,classifier closed dialect/loan token set
ar,*,خايب,,,,drop,classifier closed dialect/loan token set
ar,*,خايبة,,,,drop,classifier closed dialect/loan token set
ar,*,ختي,,,,drop,classifier closed dialect/loan token set
ar,*,خلاص,,,,drop,classifier closed dialect/loan token set
ar,*,خمسطاش,,,,drop,classifier closed dialect/loan token set
ar,*,خويا,,,,drop,classifier closed dialect/loan token set
ar,*,دابا,,,,drop,classifier closed dialect/loan token set
ar,*,داك,,,,drop,classifier closed dialect/loan token set
ar,*,داكشي,,,,drop,classifier closed dialect/loan token set
ar,*,دبا,,,,drop,classifier closed dialect/loan token set
ar,*,دراري,,,,drop,classifier closed dialect/loan token set
ar,*,دري,,,,drop,classifier closed dialect/loan token set
ar,*,درية,,,,drop,classifier closed dialect/loan token set
ar,*,دوش,,,,drop,classifier closed dialect/loan token set
