Chinese_Lemma,English_Lemma,Chinese_Lemma,POS
如同,as,如同,SCONJ
如此,thus,如此,ADV
妄想,delusion,妄想,NOUN
妥协,to compromise,妥协,VERB
妥善,appropriate,妥善,ADJ
妥当,appropriate,妥当,ADJ
妳,you (female),妳,PRON
姑且,temporarily,姑且,ADV
委员,committee member,委员,NOUN
委员会,committee,委员会,NOUN
姿态,posture,姿态,NOUN
威信,prestige,威信,NOUN
威力,might,威力,NOUN
威望,prestige,威望,NOUN
威风,majesty,威风,NOUN
娇气,delicate,娇气,ADJ
媒介,medium,媒介,NOUN
媒体,media,媒体,NOUN
媳妇,daughter-in-law,媳妇,NOUN
嫂子,older brother's wife,嫂子,NOUN
嫉妒,to be jealous,嫉妒,VERB
嫌,to dislike,嫌,VERB
嫌犯,suspect,嫌犯,NOUN
嫌疑,suspicion,嫌疑,NOUN
嫌疑人,suspect,嫌疑人,NOUN
子弹,bullet,子弹,NOUN
孕育,to nurture,孕育,VERB
字母,letter (of the alphabet),字母,NOUN
季军,third place,季军,NOUN
季度,quarter of a year,季度,NOUN
孤独,lonely,孤独,ADJ
孤立,to isolate,孤立,VERB
学会,to learn,学会,VERB
学位,academic degree,学位,NOUN
学历,educational background,学历,NOUN
学说,theory,学说,NOUN
学院,academy,学院,NOUN
宁愿,would rather,宁愿,ADV
宁肯,would rather,宁肯,ADV
它们,they (things),它们,PRON
守,to guard,守,VERB
守卫,to guard,守卫,VERB
守护,to guard,守护,VERB
安,peaceful,安,ADJ
安全带,seat belt,安全带,NOUN
安宁,peaceful,安宁,ADJ
安居乐业,live in peace and work happily,安居乐业,VERB
安心,at ease,安心,ADJ
安置,to place,安置,VERB
安详,serene,安详,ADJ
宋体,Song typeface,宋体,NOUN
完备,complete,完备,ADJ
完毕,to finish,完毕,VERB
完蛋,finished,完蛋,VERB
宏伟,grand,宏伟,ADJ
宏观,macro,宏观,ADJ
宗旨,objective,宗旨,NOUN
官员,official,官员,NOUN
官方,official,官方,ADJ
定,to set,定,VERB
定义,definition,定义,NOUN
定位,positioning,定位,NOUN
定期,regular,定期,ADJ
宝宝,baby,宝宝,NOUN
宝贝儿,baby,宝贝儿,NOUN
实事求是,seek truth from facts,实事求是,VERB
实力,strength,实力,NOUN
实惠,tangible benefit,实惠,NOUN
实施,to implement,实施,VERB
实质,substance,实质,NOUN
实际上,actually,实际上,ADV
实验室,laboratory,实验室,NOUN
审判,trial,审判,NOUN
审查,to examine,审查,VERB
审理,to hear a case,审理,VERB
审美,aesthetics,审美,NOUN
客户,client,客户,NOUN
客气,polite,客气,ADJ
宣扬,to proclaim,宣扬,VERB
宣誓,to swear an oath,宣誓,VERB
室,room,室,NOUN
室友,roommate,室友,NOUN
宪法,constitution,宪法,NOUN
宫殿,palace,宫殿,NOUN
宰,to slaughter,宰,VERB
害,to harm,害,VERB
害死,to cause death,害死,VERB
家人,family,家人,NOUN
家伙,guy,家伙,NOUN
家喻户晓,well known,家喻户晓,ADJ
家园,homeland,家园,NOUN
家属,family member,家属,NOUN
家常,everyday family life,家常,NOUN
家族,clan,家族,NOUN
家里,at home,家里,NOUN
家长,parent,家长,NOUN
容器,container,容器,NOUN
容忍,to tolerate,容忍,VERB
容纳,to hold,容纳,VERB
容貌,appearance,容貌,NOUN
宽恕,to forgive,宽恕,VERB
宽敞,spacious,宽敞,ADJ
寂静,quiet,寂静,ADJ
寄托,to entrust,寄托,VERB
密封,to seal,密封,VERB
密度,density,密度,NOUN
富有,rich,富有,ADJ
富裕,prosperous,富裕,ADJ
寒暄,exchange greetings,寒暄,VERB
寓言,fable,寓言,NOUN
对付,handle,对付,VERB
对应,correspond,对应,VERB
对抗,resist,对抗,VERB
对此,regarding this,对此,ADV
对照,contrast,对照,VERB
对称,symmetry,对称,NOUN
对立,oppose,对立,VERB
对策,countermeasure,对策,NOUN
