Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
مشروعية,legitimacy,合法性,NOUN
حوكمة,governance,治理,NOUN
تعددية,pluralism,多元主义,NOUN
استبداد,despotism,专制,NOUN
ديكتاتورية,dictatorship,独裁,NOUN
شمولية,totalitarianism,极权主义,NOUN
ليبرالية,liberalism,自由主义,NOUN
اشتراكية,socialism,社会主义,NOUN
شيوعية,communism,共产主义,NOUN
رأسمالية,capitalism,资本主义,NOUN
قومية,nationalism,民族主义,NOUN
علمانية,secularism,世俗主义,NOUN
أصولية,fundamentalism,原教旨主义,NOUN
شعبوية,populism,民粹主义,NOUN
راديكالية,radicalism,激进主义,NOUN
تقدمي,progressive,进步的,ADJ
يساري,leftist,左翼的,ADJ
يميني,rightist,右翼的,ADJ
وسطي,centrist,中间派的,ADJ
أقلية,minority,少数群体,NOUN
جمهورية,republic,共和国,NOUN
فيدرالية,federalism,联邦制,NOUN
لامركزية,decentralization,分权,NOUN
دستورية,constitutionality,合宪性,NOUN
مساءلة,accountability,问责制,NOUN
احتقان,social tension,社会紧张,NOUN
حراك,protest movement,社会运动,NOUN
قمع,repression,镇压,NOUN
تضييق,clampdown,收紧,NOUN
دمقرطة,democratization,民主化,NOUN
استقطاب,polarization,两极分化,NOUN
توافق,consensus,共识,NOUN
إجماع,unanimity,一致同意,NOUN
بيعة,oath of allegiance,效忠誓约,NOUN
وصاية,tutelage,监护,NOUN
ريع,rent,租金,NOUN
زبونية,clientelism,庇护主义,NOUN
محسوبية,cronyism,任人唯亲,NOUN
ارتشاء,bribery,受贿,NOUN
اختلاس,embezzlement,挪用公款,NOUN
زعامة,leadership,领导力,NOUN
كاريزما,charisma,魅力,NOUN
شعار,slogan,口号,NOUN
ترضية,appeasement,绥靖,NOUN
احتواء,containment,遏制,NOUN
تمكين,empowerment,赋权,NOUN
مناصفة,gender parity,性别平等,NOUN
تفاوت,disparity,差异,NOUN
ترافع,advocacy,倡导,NOUN
انتداب,secondment,借调,NOUN
اختصاص,jurisdiction,管辖权,NOUN
بيروقراطية,bureaucracy,官僚主义,NOUN
اختلال,dysfunction,失调,NOUN
تقصير,negligence,失职,NOUN
هيكلة,restructuring,重组,NOUN
إبرام,conclusion of contract,缔结,NOUN
تظلم,grievance,申诉,NOUN
قنصل,consul,领事,NOUN
تطبيع,normalization,正常化,NOUN
تهدئة,de-escalation,降级,NOUN
انفراج,détente,缓和,NOUN
بروتوكول,protocol,议定书,NOUN
تحفظ,reservation,保留,NOUN
انضمام,accession,加入,NOUN
انسحاب,withdrawal,撤出,NOUN
فيتو,veto,否决权,NOUN
نازح,displaced person,流离失所者,NOUN
قطبية,polarity,极性,NOUN
هيمنة,hegemony,霸权,NOUN
نفوذ,influence,影响力,NOUN
جالية,diaspora community,侨民社区,NOUN
مراسم,ceremonial protocol,礼仪,NOUN
انحياز,bias,偏见,NOUN
قاض,judge,法官,NOUN
مداولة,deliberation,审议,NOUN
حيثيات,grounds of judgment,判决依据,NOUN
تعرض,objection,异议,NOUN
إحالة,referral,移交,NOUN
مدع,plaintiff,原告,NOUN
ظنين,suspect,嫌疑人,NOUN
إفادة,testimony,证词,NOUN
تلبس,flagrante delicto,现行犯,NOUN
تقاض,litigation,诉讼,NOUN
منازعة,dispute,争议,NOUN
تحكيم,arbitration,仲裁,NOUN
عدول,adoul notaries,阿杜勒公证人,NOUN
محاماة,legal profession,律师业,NOUN
