csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
31,answer,answer,回答,NOUN,en,A1,1,keep,clean
56,believe,believe,相信,VERB,en,A1,2,keep,clean
99,clean,clean,干净的,ADJ,en,A1,3,keep,clean
114,crazy,crazy,疯狂的,ADJ,en,A1,4,keep,clean
135,drink,drink,喝,VERB,en,A1,5,keep,clean
145,end,end,结束,NOUN,en,A1,6,keep,clean
251,if,if,如果,SCONJ,en,A1,7,keep,clean
273,least,least,最少的,ADJ,en,A1,8,keep,clean
291,loss,loss,损失,NOUN,en,A1,9,keep,clean
307,meeting,meeting,会议,NOUN,en,A1,10,keep,clean
316,moment,moment,时刻,NOUN,en,A1,11,keep,clean
317,money,money,钱,NOUN,en,A1,12,keep,clean
338,nobody,nobody,没有人,PRON,en,A1,13,keep,clean
345,okay,okay,好的,ADJ,en,A1,14,keep,clean
391,rather,rather,相当,ADV,en,A1,15,keep,clean
399,release,release,释放,VERB,en,A1,16,keep,clean
457,sound,sound,声音,NOUN,en,A1,17,keep,clean
481,table,table,桌子,NOUN,en,A1,18,keep,clean
508,tired,tired,疲倦的,ADJ,en,A1,19,keep,clean
509,to,to,到,ADP,en,A1,20,keep,clean
517,touch,touch,触摸,VERB,en,A1,21,keep,clean
518,town,town,城镇,NOUN,en,A1,22,keep,clean
553,which,which,哪一个,PRON,en,A1,23,keep,clean
575,would,would,将要,AUX,en,A1,24,keep,clean
