lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,B1,1,871,traffic,traffic,交通,NOUN,keep,clean
en,B1,2,553,officially,officially,正式地,ADV,keep,clean
en,B1,3,417,hug,hug,拥抱,NOUN,keep,clean
en,B1,4,81,billion,billion,十亿,NUM,keep,clean
en,B1,5,315,explosion,explosion,爆炸,NOUN,keep,clean
en,B1,6,534,neighbor,neighbor,邻居,NOUN,keep,clean
en,B1,7,106,bullet,bullet,子弹,NOUN,keep,clean
en,B1,8,945,zone,zone,区域,NOUN,keep,clean
en,B1,9,855,tie,tie,领带,NOUN,keep,clean
en,B1,10,302,exact,exact,精确的,ADJ,keep,clean
en,B1,11,79,below,below,在...下面,ADP,keep,clean
en,B1,12,20,although,although,虽然,SCONJ,keep,clean
en,B1,13,165,clue,clue,线索,NOUN,keep,clean
en,B1,14,731,ship,ship,船,NOUN,keep,clean
en,B1,15,454,joy,joy,喜悦,NOUN,keep,clean
en,B1,16,430,incident,incident,事件,NOUN,keep,clean
en,B1,17,833,teaching,teaching,教学,NOUN,keep,clean
en,B1,18,205,crack,crack,裂缝,NOUN,keep,clean
en,B1,19,436,insist,insist,坚持,VERB,keep,clean
en,B1,20,457,jury,jury,陪审团,NOUN,keep,clean
en,B1,21,817,surveillance,surveillance,监视,NOUN,keep,clean
en,B1,22,555,online,online,在线的,ADJ,keep,clean
en,B1,23,629,procedure,procedure,程序,NOUN,keep,clean
en,B1,24,529,nasty,nasty,令人不快的,ADJ,keep,clean
