csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
6,abnégation,self-denial,自我牺牲,NOUN,fr,Advanced,1,keep,clean
92,aigreur,bitterness,酸苦 / 怨恨,NOUN,fr,Advanced,2,keep,clean
393,biennale,biennial,双年展,NOUN,fr,Advanced,3,keep,clean
423,bouleversement,upheaval,动荡,NOUN,fr,Advanced,4,keep,clean
840,diabolique,diabolical,恶魔般的,ADJ,fr,Advanced,5,keep,clean
1001,délivrance,"deliverance, issuance",释放，发放,NOUN,fr,Advanced,6,keep,clean
1038,désarroi,dismay,慌乱,NOUN,fr,Advanced,7,keep,clean
1135,envahisseur,invader,入侵者,NOUN,fr,Advanced,8,keep,clean
1142,escouade,squad,小队,NOUN,fr,Advanced,9,keep,clean
1318,férié,public holiday,公共假日,ADJ,fr,Advanced,10,keep,clean
1399,géopolitique,geopolitical,地缘政治的,ADJ,fr,Advanced,11,keep,clean
1584,influer,to influence,影响,VERB,fr,Advanced,12,keep,clean
1697,jésuite,Jesuit,耶稣会士,NOUN,fr,Advanced,13,keep,clean
1896,mitoyenneté,shared boundary ownership,共有边界权,NOUN,fr,Advanced,14,keep,clean
1960,méfiance,distrust,不信任,NOUN,fr,Advanced,15,keep,clean
2063,oculaire,ocular,眼部的,ADJ,fr,Advanced,16,keep,clean
2116,pancarte,sign,标语牌,NOUN,fr,Advanced,17,keep,clean
2142,paresseux,lazy,懒惰的,ADJ,fr,Advanced,18,keep,clean
2363,progéniture,offspring,后代,NOUN,fr,Advanced,19,keep,clean
2373,promouvoir,to promote,促进,VERB,fr,Advanced,20,keep,clean
2453,psaume,psalm,诗篇,NOUN,fr,Advanced,21,keep,clean
2945,subitement,suddenly,突然地,ADV,fr,Advanced,22,keep,clean
3343,transitoire,transitional,过渡的,ADJ,fr,Advanced,23,keep,clean
3370,trente,thirty,三十,NUM,fr,Advanced,24,keep,clean
