German_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
Museum,museum,博物馆,NOUN,B2
Klamotte,"clothing, duds",衣服,NOUN,B2
ihn,him,他,PRON,B2
los,"go, loose",出发,ADV,B2
Juli,july,七月,NOUN,B2
Gepäck,luggage,行李,NOUN,B2
erkälten,to catch a cold,感冒,VERB,B2
Vermieterin,landlady,女房东,NOUN,B2
Dienstbote,servant,仆人,NOUN,B2
Mieter,tenant,租客,NOUN,B2
Bücherei,library,图书馆,NOUN,B2
Verkäuferin,saleswoman,女销售员,NOUN,B2
umfallen,to fall over,倒塌,VERB,B2
katastrophal,catastrophic,灾难性的,ADJ,B2
Erkältung,"cold, illness",感冒,NOUN,B2
Umfang,"scope, volume",范围,NOUN,B2
Heu,hay,干草,NOUN,B2
Christ,christian,基督徒,NOUN,B2
Rüstung,"armor, equipment",装备,NOUN,B2
Pickel,"pimple, pick",粉刺,NOUN,B2
Video,video,视频,NOUN,B2
Service,service,服务,NOUN,B2
Party,party,派对,NOUN,B2
