Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
avanzado,advanced,高级的,ADJ
convenio,agreement,协议,NOUN
defensivo,defensive,防御的,ADJ
defensor,defender,辩护者,NOUN
deferencia,deference,敬意,NOUN
deferente,deferential,恭敬的,ADJ
deficiencia,deficiency,缺陷,NOUN
deficiente,deficient,不足的,ADJ
deficitario,deficitary,赤字的,ADJ
definible,definable,可定义的,ADJ
definitivo,definitive,决定性的,ADJ
deformación,deformation,变形,NOUN
deformar,to deform,使变形,VERB
deforme,deformed,畸形的,ADJ
defraudar,to defraud,诈骗,VERB
defunción,death,死亡,NOUN
degeneración,degeneration,退化,NOUN
degenerar,to degenerate,退化,VERB
degradación,degradation,降级,NOUN
degradante,degrading,有辱人格的,ADJ
degradar,to degrade,使降级,VERB
degustación,tasting,品尝,NOUN
degustar,to taste,品尝,VERB
dehesa,pasture,牧场,NOUN
deidad,deity,神,NOUN
deificar,to deify,神化,VERB
dejación,relinquishment,放弃,NOUN
delación,denunciation,告发,NOUN
delatar,to denounce,告发,VERB
delator,informer,告密者,NOUN
delegación,delegation,代表团,NOUN
delegado,delegate,代表,NOUN
delegar,to delegate,委托,VERB
deleitable,delightful,令人愉快的,ADJ
deleitar,to delight,使高兴,VERB
deleite,delight,快乐,NOUN
deletreo,spelling,拼写,NOUN
deleznable,brittle,脆弱的,ADJ
delgadez,thinness,瘦,NOUN
deliberación,deliberation,深思熟虑,NOUN
deliberante,deliberate,深思熟虑的,ADJ
deliberar,to deliberate,深思熟虑,VERB
delicadeza,delicacy,精致,NOUN
delicia,delight,乐趣,NOUN
delictivo,criminal,犯罪的,ADJ
delimitación,delimitation,划定界限,NOUN
delimitar,to delimit,划定界限,VERB
delincuencia,delinquency,犯罪,NOUN
delinear,to delineate,描绘,VERB
delirante,delirious,谵妄的,ADJ
delirar,to rave,说胡话,VERB
delirio,delirium,谵妄,NOUN
demacrado,emaciated,消瘦的,ADJ
demagogia,demagoguery,煽动性,NOUN
demagogo,demagogue,煽动家,NOUN
demandar,to sue,起诉,VERB
demarcación,demarcation,划界,NOUN
demarcar,to demarcate,划界,VERB
demencia,dementia,痴呆,NOUN
demencial,demented,痴呆的,ADJ
democratización,democratization,民主化,NOUN
democratizar,to democratize,使民主化,VERB
demoledor,devastating,毁灭性的,ADJ
demoler,to demolish,拆除,VERB
demolición,demolition,拆除,NOUN
demoníaco,demonic,恶魔般的,ADJ
demora,delay,延迟,NOUN
demorar,to delay,延误,VERB
demostrable,demonstrable,可证明的,ADJ
demudar,to alter,改变,VERB
denegación,denial,拒绝,NOUN
denegar,to deny,拒绝,VERB
denigrar,to denigrate,诋毁,VERB
denodado,intrepid,无畏的,ADJ
denominación,denomination,名称,NOUN
denominador,denominator,分母,NOUN
denominar,to name,命名,VERB
denotar,to denote,表示,VERB
densidad,density,密度,NOUN
denuedo,boldness,勇敢,NOUN
denuesto,insult,辱骂,NOUN
denunciante,whistleblower,举报人,NOUN
denunciar,to denounce,谴责,VERB
deparar,to provide,提供,VERB
departir,to converse,交谈,VERB
dependencia,dependence,依赖,NOUN
depender,to depend,依赖,VERB
dependiente,clerk,店员,NOUN
deplorar,to deplore,谴责,VERB
deportación,deportation,驱逐出境,NOUN
deportar,to deport,驱逐出境,VERB
deportista,athlete,运动员,NOUN
deposición,deposition,证词,NOUN
depositar,to deposit,存放,VERB
depravación,depravity,堕落,NOUN
depravar,to deprave,使堕落,VERB
deprecación,supplication,恳求,NOUN
deprecar,to supplicate,恳求,VERB
depreciación,depreciation,贬值,NOUN
depreciar,to depreciate,贬值,VERB
depredación,depredation,掠夺,NOUN
depredador,predator,捕食者,NOUN
depredar,to plunder,掠夺,VERB
deprimir,to depress,使沮丧,VERB
depuración,purification,净化,NOUN
depurar,to purify,净化,VERB
depósito,deposit,存款,NOUN
deriva,drift,漂移,NOUN
derivación,derivation,推导,NOUN
derivado,derivative,衍生物,NOUN
derivar,to derive,衍生,VERB
derogación,derogation,废除,NOUN
derogar,to derogate,废除,VERB
derramamiento,spilling,倾洒,NOUN
derramar,to spill,洒出,VERB
derrame,spill,溢出,NOUN
derretir,to melt,融化,VERB
derribo,demolition,拆除,NOUN
derrocar,to overthrow,推翻,VERB
derrochador,squanderer,挥霍者,NOUN
derrochar,to squander,挥霍,VERB
derroche,squander,挥霍,NOUN
derrotismo,defeatism,失败主义,NOUN
derrumbar,to collapse,使倒塌,VERB
desabridamente,bluntly,生硬地,ADV
desabrido,bland,无味的,ADJ
desabrochar,to unbutton,解开纽扣,VERB
desacatar,to disrespect,违抗,VERB
desacato,disrespect,违抗,NOUN
desacertado,unwise,不明智的,ADJ
desacertar,to err,判断失误,VERB
desacierto,blunder,失误,NOUN
desacomodar,to inconvenience,使不便,VERB
desaconsejar,to advise against,劝告不要,VERB
desacoplar,to uncouple,脱钩,VERB
desacordar,to disagree,意见不合,VERB
desacorde,discordant,不和谐的,ADJ
desacostumbrado,unaccustomed,不习惯的,ADJ
desacreditar,to discredit,败坏名声,VERB
desactivar,to deactivate,使失效,VERB
desadaptado,maladjusted,适应不良的,ADJ
desafección,disaffection,不满,NOUN
desafecto,disaffected,不满的,ADJ
desafiante,defiant,挑衅的,ADJ
desafiar,to challenge,挑战,VERB
desafinar,to be out of tune,走调,VERB
desaforado,unbridled,肆无忌惮的,ADJ
desagradar,to displease,使不悦,VERB
desagradecido,ungrateful,忘恩负义的,ADJ
desagravio,amends,补偿,NOUN
desaguar,to drain,排水,VERB
desaguisado,outrage,暴行,NOUN
desagüe,drainage,排水系统,NOUN
desahogadamente,comfortably,舒适地,ADV
desahogarse,to vent,倾诉,VERB
desahogo,relief,宽慰,NOUN
desahuciar,to evict,驱逐,VERB
desahucio,eviction,驱逐,NOUN
desairar,to snub,冷落,VERB
desaire,snub,冷落,NOUN
desajustar,to disarrange,弄乱,VERB
desalentador,disheartening,令人沮丧的,ADJ
desalentar,to discourage,使气馁,VERB
desaliento,discouragement,气馁,NOUN
desaliñar,to disarray,弄乱,VERB
desaliño,untidiness,凌乱,NOUN
desalmado,heartless,无情的,ADJ
desalojar,to evict,驱逐,VERB
desalumbrado,dimmed,昏暗的,ADJ
desamarrar,to untie,解开,VERB
desambientado,out of place,格格不入的,ADJ
desamor,lack of affection,缺乏感情,NOUN
desamortizar,to disentail,解除财产继承限制,VERB
desamparar,to abandon,抛弃,VERB
desamparo,abandonment,抛弃,NOUN
desangrar,to bleed,使失血,VERB
desanimar,to dishearten,使气馁,VERB
desapacible,unpleasant,令人不快的,ADJ
desapasionado,dispassionate,冷静的,ADJ
desapego,detachment,超脱,NOUN
desapercibido,unnoticed,未被注意的,ADJ
desaplicado,careless,不用功的,ADJ
desaprensivo,unscrupulous,肆无忌惮的,ADJ
desaprobación,disapproval,不赞成,NOUN
desaprobar,to disapprove,不赞成,VERB
desaprovechar,to waste,浪费,VERB
desarmar,to disarm,解除武装,VERB
desarme,disarmament,裁军,NOUN
desarraigado,uprooted,背井离乡的,ADJ
desarraigar,to uproot,根除,VERB
desarraigo,uprooting,背井离乡,NOUN
desarreglar,to disarrange,弄乱,VERB
desarreglo,disorder,混乱,NOUN
desarrollado,developed,发达的,ADJ
desarticular,to disjoint,使脱节,VERB
desasimiento,detachment,超脱,NOUN
desasir,to release,放开,VERB
