Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
حدود,borders,边界,NOUN
كاف,sufficient,足够的,ADJ
لاجئ,refugee,难民,NOUN
فوضوي,messy,凌乱的,ADJ
مَرْضِيّ,satisfied,满意的,ADJ
خط,handwriting,笔迹,NOUN
معدن,mineral,矿物,NOUN
زجاج,glass,玻璃,NOUN
بستان,orchard,果园,NOUN
رماد,ash,灰烬,NOUN
ظلام,darkness,黑暗,NOUN
عاصفة,storm,暴风雨,NOUN
سطح,surface,表面,NOUN
حرارة,heat,热度,NOUN
درجة,degree,度,NOUN
برودة,coldness,寒冷,NOUN
نقطة,point,点,NOUN
خبر,news,消息,NOUN
موظف,employee,员工,NOUN
فرصة,opportunity,机会,NOUN
حساب,account,账户,NOUN
ناقش,to discuss,讨论,VERB
اتفق,to agree,同意,VERB
استلم,to receive payment,领取工资,VERB
اعتذر,to apologize,道歉,VERB
سامح,to forgive,原谅,VERB
تخيل,to imagine,想象,VERB
واقع,reality,现实,NOUN
مسافر,traveler,旅行者,NOUN
جولة,tour,游览,NOUN
طيار,pilot,飞行员,NOUN
استراحة,rest stop,休息站,NOUN
متحف,museum,博物馆,NOUN
دليل,guidebook,指南,NOUN
تأخير,delay,延误,NOUN
هبوط,landing,降落,NOUN
بوابة,gate,登机口,NOUN
مقعد,seat,座位,NOUN
ممر,aisle,过道,NOUN
وصول,arrival,到达,NOUN
انطلاق,departure,出发,NOUN
تسجيل,check-in,登记,NOUN
عملة,currency,货币,NOUN
اتجاه,direction,方向,NOUN
سياحي,touristic,旅游的,ADJ
مسار,route,路线,NOUN
سفينة,ship,船,NOUN
مسلسل,TV series,电视剧,NOUN
قناة,channel,频道,NOUN
أخبار,news,新闻,NOUN
مجلة,magazine,杂志,NOUN
إعلان,advertisement,广告,NOUN
صحافي,journalist,记者,NOUN
ممثل,actor,演员,NOUN
ممثلة,actress,女演员,NOUN
مغني,singer,歌手,NOUN
أغنية,song,歌曲,NOUN
مسرح,theater,剧院,NOUN
مسرحية,stage play,舞台剧,NOUN
رواية,novel,小说,NOUN
شاعر,poet,诗人,NOUN
قصيدة,poem,诗,NOUN
رسام,painter,画家,NOUN
لوحة,painting,画作,NOUN
معرض,exhibition,展览,NOUN
ثقافة,culture,文化,NOUN
فن,art,艺术,NOUN
فنان,artist,艺术家,NOUN
جمهور,audience,观众,NOUN
نكتة,joke,笑话,NOUN
ترجمة,translation,翻译,NOUN
حلقة,episode,集,NOUN
مقابلة,interview,采访,NOUN
مباشر,live,现场直播的,ADJ
شاشة,screen,屏幕,NOUN
نجم,celebrity,明星,NOUN
رقص,dance,舞蹈,NOUN
صحافة,press,新闻界,NOUN
إذاعة,radio station,广播电台,NOUN
مشهد,scene,场景,NOUN
دور,role,角色,NOUN
أداء,performance,表演,NOUN
كلمات,lyrics,歌词,NOUN
آلة,instrument,乐器,NOUN
شعبي,folk,民间的,ADJ
تمثيل,acting,表演,NOUN
رعب,horror,恐怖,NOUN
ممل,boring,无聊的,ADJ
ممتع,enjoyable,有趣的,ADJ
مثير,exciting,令人兴奋的,ADJ
تقييم,rating,评分,NOUN
قارئ,reader,读者,NOUN
حقوق,rights,权利,NOUN
معجب,fan,粉丝,NOUN
مهرجان,festival,节日,NOUN
فريق,team,队,NOUN
لاعب,player,球员,NOUN
مدرب,coach,教练,NOUN
حكم,referee,裁判,NOUN
مباراة,match,比赛,NOUN
بطولة,championship,锦标赛,NOUN
كأس,cup,杯,NOUN
هدف,goal,进球,NOUN
مرمى,goal,球门,NOUN
ضربة,kick,踢,NOUN
تدريب,training,训练,NOUN
جري,running,跑步,NOUN
سباق,race,比赛,NOUN
سباحة,swimming,游泳,NOUN
تسلق,climbing,攀岩,NOUN
مشي,walking,步行,NOUN
إصابة,injury,受伤,NOUN
فوز,victory,胜利,NOUN
خسارة,defeat,失败,NOUN
نتيجة,result,结果,NOUN
ترتيب,ranking,排名,NOUN
دوري,league,联赛,NOUN
منتخب,national team,国家队,NOUN
مشجع,fan,球迷,NOUN
شجع,to cheer,欢呼,VERB
تنس,tennis,网球,NOUN
هواية,hobby,爱好,NOUN
تدرب,to train,训练,VERB
مسابقة,competition,比赛,NOUN
رياضي,athlete,运动员,NOUN
بيئة,environment,环境,NOUN
طبيعة,nature,自然,NOUN
تلوث,pollution,污染,NOUN
قمامة,garbage,垃圾,NOUN
مناخ,climate,气候,NOUN
حريق,fire,火灾,NOUN
غروب,sunset,日落,NOUN
شروق,sunrise,日出,NOUN
كوكب,planet,行星,NOUN
تربة,soil,土壤,NOUN
شمسي,solar,太阳的,ADJ
موجة,wave,波浪,NOUN
منظر,landscape,风景,NOUN
قمح,wheat,小麦,NOUN
فضاء,space,空间,NOUN
شهادة,certificate,证书,NOUN
تعريف,identification,身份证明,NOUN
عقد,contract,合同,NOUN
وفاة,death,死亡,NOUN
زواج,marriage,婚姻,NOUN
توقيع,signature,签名,NOUN
نسخة,copy,副本,NOUN
ملف,file,文件,NOUN
إدارة,administration,管理,NOUN
شباك,service counter,服务窗口,NOUN
موعد,appointment,预约,NOUN
أجل,deadline,期限,NOUN
رخصة,license,执照,NOUN
جنسية,nationality,国籍,NOUN
إقامة,residence,居住,NOUN
رصيف,sidewalk,人行道,NOUN
سلطة,authority,权力,NOUN
انتخابات,elections,选举,NOUN
جمعية,association,协会,NOUN
أمن,security,安全,NOUN
جريمة,crime,犯罪,NOUN
سرقة,theft,盗窃,NOUN
سجن,prison,监狱,NOUN
وكالة,agency,机构,NOUN
فائدة,interest,利息,NOUN
رسمي,official,官方的,ADJ
وثيقة,document,文件,NOUN
إنترنت,internet,互联网,NOUN
موقع,website,网站,NOUN
تطبيق,app,应用程序,NOUN
نزّل,to download,下载,VERB
منشور,post,帖子,NOUN
تعليق,comment,评论,NOUN
تابع,to follow,关注,VERB
فأرة,computer mouse,鼠标,NOUN
بطارية,battery,电池,NOUN
سماعة,headphones,耳机,NOUN
مكالمة,phone call,通话,NOUN
صفحة,page,页面,NOUN
رابط,link,链接,NOUN
بحث,to search,搜索,VERB
فيروس,virus,病毒,NOUN
مجموعة,group,群组,NOUN
تحديث,update,更新,NOUN
نظام,system,系统,NOUN
كابل,cable,电缆,NOUN
ذاكرة,memory,记忆,NOUN
نسخ,to copy,复制,VERB
طبع,to print,打印,VERB
طابعة,printer,打印机,NOUN
جهاز,device,设备,NOUN
غضب,to get angry,生气,VERB
فخر,pride,骄傲,NOUN
فخور,proud,骄傲的,ADJ
أمل,hope,希望,NOUN
مفاجأة,surprise,惊讶,NOUN
مل,to get bored,厌倦,VERB
رأي,opinion,意见,NOUN
اقتراح,suggestion,建议,NOUN
اقترح,to suggest,建议,VERB
اختلف,to disagree,不同意,VERB
نقاش,discussion,讨论,NOUN
شك,doubt,怀疑,NOUN
متأكد,sure,确定的,ADJ
صراحة,frankness,坦率,NOUN
شعور,feeling,感觉,NOUN
مزاج,mood,心情,NOUN
حماس,enthusiasm,热情,NOUN
متحمس,enthusiastic,热情的,ADJ
دمع,tear,眼泪,NOUN
ابتسامة,smile,微笑,NOUN
تبسم,to smile,微笑,VERB
ثقة,trust,信任,NOUN
احترام,respect,尊重,NOUN
ظلم,injustice,不公,NOUN
موقف,stance,立场,NOUN
تفاهم,mutual understanding,相互理解,NOUN
استغرب,to be surprised,感到惊讶,VERB
كذاب,liar,说谎者,NOUN
صادق,honest,诚实的,ADJ
كريم,generous,慷慨的,ADJ
بخيل,stingy,吝啬的,ADJ
مجتهد,hardworking,勤奋的,ADJ
غبي,stupid,愚蠢的,ADJ
صَبُور,patient,有耐心的,ADJ
عَصَبِيّ,irritable,易怒的,ADJ
هادِئ,calm,冷静的,ADJ
مُضْحِك,funny,滑稽的,ADJ
مَسْؤول,responsible,负责任的,ADJ
