csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
57,anklagen,accuse,指控,VERB,de,Advanced,1,keep,clean
134,ausarten,escalate,恶化,VERB,de,Advanced,2,keep,clean
287,Betracht,consideration,考虑,NOUN,de,Advanced,3,keep,clean
357,Dachboden,attic,阁楼,NOUN,de,Advanced,4,keep,clean
379,deswegen,therefore,因此,ADV,de,Advanced,5,keep,clean
390,Distanz,distance,距离,NOUN,de,Advanced,6,keep,clean
519,Ersparnis,savings,积蓄,NOUN,de,Advanced,7,keep,clean
535,erwähnen,mention,提及,VERB,de,Advanced,8,keep,clean
596,folglich,consequently,因此,ADV,de,Advanced,9,keep,clean
632,Garderobe,wardrobe,衣帽间,NOUN,de,Advanced,10,keep,clean
718,gewaltig,enormous,巨大的,ADJ,de,Advanced,11,keep,clean
755,Gruß,greeting,问候,NOUN,de,Advanced,12,keep,clean
771,Haftbefehl,arrest warrant,逮捕令,NOUN,de,Advanced,13,keep,clean
789,Heilige,saint,圣人,NOUN,de,Advanced,14,keep,clean
841,Hintertür,back door,后门,NOUN,de,Advanced,15,keep,clean
843,Hirn,brain,大脑,NOUN,de,Advanced,16,keep,clean
948,Kampagne,campaign,运动,NOUN,de,Advanced,17,keep,clean
1071,kühl,cool,凉爽的,ADJ,de,Advanced,18,keep,clean
1187,Mikrofon,microphone,麦克风,NOUN,de,Advanced,19,keep,clean
1194,Missbrauch,abuse,滥用,NOUN,de,Advanced,20,keep,clean
1402,Rohr,pipe,管子,NOUN,de,Advanced,21,keep,clean
1531,sortieren,to sort,分类,VERB,de,Advanced,22,keep,clean
1580,Stütze,support,支撑,NOUN,de,Advanced,23,keep,clean
1740,Verlobter,fiancé,未婚夫,NOUN,de,Advanced,24,keep,clean
