Spanish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
americano,American,美国人,NOUN,B2
museo,museum,博物馆,NOUN,B2
portero,doorman,门卫,NOUN,media-additions
mío,mine,我的,PRON,B2
dueña,owner (fem),女主人,NOUN,B2
sexy,sexy,性感的,ADJ,B2
idea,idea,主意,NOUN,B2
supuesto,supposed,假设的,ADJ,media-additions
terrible,terrible,可怕的,ADJ,B2
horrible,horrible,恐怖的,ADJ,B2
moda,fashion,时尚,NOUN,B2
color,color,颜色,NOUN,B2
almohada,pillow,枕头,NOUN,B2
pedalear,to pedal,踩踏板,VERB,B2
panel,panel,面板,NOUN,B2
sino,but rather,而是,CCONJ,media-additions
