lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
nl,B2,1,362,terugkeer,return,返回,NOUN,keep,clean
nl,B2,2,145,jarig,having a birthday,过生日的,ADJ,keep,clean
nl,B2,3,292,geboorte,birth,出生,NOUN,keep,clean
nl,B2,4,137,dertig,thirty,三十,NUM,keep,clean
nl,B2,5,466,aard,nature,性质,NOUN,keep,clean
nl,B2,6,942,ongeacht,regardless,不管,ADP,keep,clean
nl,B2,7,443,geduld,patience,耐心,NOUN,keep,clean
nl,B2,8,1017,mijzelf,myself,我自己,PRON,keep,clean
nl,B2,9,24,evenals,as well as,以及,SCONJ,keep,clean
nl,B2,10,951,tijdstip,time,时刻,NOUN,keep,clean
nl,B2,11,588,kaartje,ticket,票,NOUN,keep,clean
nl,B2,12,63,boer,farmer,农民,NOUN,keep,clean
nl,B2,13,380,intussen,meanwhile,同时,ADV,keep,clean
nl,B2,14,10,mogen,to be allowed,可以,AUX,keep,clean
nl,B2,15,632,reiziger,traveler,旅行者,NOUN,keep,clean
nl,B2,16,69,noch,nor,也不,CCONJ,keep,clean
nl,B2,17,897,bakker,baker,面包师,NOUN,keep,clean
nl,B2,18,721,commissaris,commissioner,委员,NOUN,keep,clean
nl,B2,19,332,realiseren,realize,意识到,VERB,keep,clean
nl,B2,20,912,overgang,transition,过渡,NOUN,keep,clean
nl,B2,21,822,aannemen,to assume,假设,VERB,keep,clean
nl,B2,22,247,paleis,palace,宫殿,NOUN,keep,clean
nl,B2,23,232,hoezo,what do you mean?,怎么会,INTJ,keep,clean
nl,B2,24,833,excuus,excuse,借口,NOUN,keep,clean
